Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
292,360.66,358.76,360.95,362.53,362.29,363.98,362.44,363.41,360.59,342.52,350.27,319.862597906514,341.944460275705,341.944460275705,341.944460275705,341.944460275705,341.944460275705,341.944460275705,341.944460275705,341.944460275705,341.944460275705,383.886965073996,0.1575,25900,3,0.98
293,360.67,358.73,360.96,362.54,362.3,364.01,362.47,363.38,360.52,342.51,350.41,319.901756502151,341.987994683732,341.987994683732,341.987994683732,341.987994683732,341.987994683732,341.987994683732,341.987994683732,341.987994683732,341.987994683732,383.930499482023,0.1575,25900,3,0.98
294,360.68,358.73,360.97,362.53,362.3,364.05,362.5,363.36,360.45,342.51,350.39,319.940910846199,342.031524943023,342.031524943023,342.031524943023,342.031524943023,342.031524943023,342.031524943023,342.031524943023,342.031524943023,342.031524943023,383.974029741314,0.1575,25900,3,0.98
295,360.67,358.76,361.0,362.54,362.32,364.09,362.52,363.36,360.4,342.5,350.41,319.980060938458,342.075051053206,342.075051053206,342.075051053206,342.075051053206,342.075051053206,342.075051053206,342.075051053206,342.075051053206,342.075051053206,384.017555851497,0.1575,25900,3,0.98
296,360.64,358.82,361.02,362.54,362.32,364.14,362.55,363.41,360.46,342.49,350.38,320.019206778729,342.11857301391,342.11857301391,342.11857301391,342.11857301391,342.11857301391,342.11857301391,342.11857301391,342.11857301391,342.11857301391,384.061077812201,0.1575,25900,3,0.98
297,360.63,358.88,361.05,362.54,362.33,364.17,362.58,363.5,360.61,342.49,350.4,320.058348366814,342.162090824764,342.162090824764,342.162090824764,342.162090824764,342.162090824764,342.162090824764,342.162090824764,342.162090824764,342.162090824764,384.104595623054,0.1575,25900,3,0.98
298,360.65,358.92,361.07,362.56,362.34,364.19,362.59,363.56,360.74,342.5,350.44,320.097485702514,342.205604485397,342.205604485397,342.205604485397,342.205604485397,342.205604485397,342.205604485397,342.205604485397,342.205604485397,342.205604485397,384.148109283688,0.1575,25900,3,0.98
299,360.66,358.94,361.09,362.6,362.34,364.21,362.52,363.61,360.87,342.53,350.47,320.136618785631,342.249113995438,342.249113995438,342.249113995438,342.249113995438,342.249113995438,342.249113995438,342.249113995438,342.249113995438,342.249113995438,384.191618793729,0.1575,25900,3,0.98
300,360.68,358.97,361.14,362.67,362.36,364.23,362.36,363.65,361.0,342.56,350.32,320.175747615967,342.292619354517,342.292619354517,342.292619354517,342.292619354517,342.292619354517,342.292619354517,342.292619354517,342.292619354517,342.292619354517,384.235124152808,0.1575,25900,3,0.98
301,360.69,359.01,361.19,362.72,362.36,364.24,362.07,363.62,361.07,342.62,350.36,320.214872193323,342.336120562264,342.336120562264,342.336120562264,342.336120562264,342.336120562264,342.336120562264,342.336120562264,342.336120562264,342.336120562264,384.278625360554,0.1575,25900,3,0.98
302,360.72,359.07,361.24,362.77,362.37,364.25,361.79,363.54,361.12,342.68,350.41,320.253992517502,342.379617618308,342.379617618308,342.379617618308,342.379617618308,342.379617618308,342.379617618308,342.379617618308,342.379617618308,342.379617618308,384.322122416598,0.1575,25900,3,0.98
303,360.74,359.14,361.28,362.82,362.39,364.24,361.54,363.45,361.11,342.73,350.5,320.293108588305,342.423110522279,342.423110522279,342.423110522279,342.423110522279,342.423110522279,342.423110522279,342.423110522279,342.423110522279,342.423110522279,384.365615320569,0.1575,25900,3,0.98
304,360.75,359.19,361.31,362.86,362.41,364.21,361.35,363.34,360.98,342.75,350.5,320.332220405537,342.466599273808,342.466599273808,342.466599273808,342.466599273808,342.466599273808,342.466599273808,342.466599273808,342.466599273808,342.466599273808,384.409104072098,0.1575,25900,3,0.98
305,360.75,359.26,361.34,362.87,362.42,364.2,361.33,363.25,360.88,342.8,350.46,320.371327968999,342.510083872525,342.510083872525,342.510083872525,342.510083872525,342.510083872525,342.510083872525,342.510083872525,342.510083872525,342.510083872525,384.452588670815,0.1575,25900,3,0.98
306,360.73,359.36,361.39,362.89,362.43,364.16,361.52,363.15,360.85,342.85,350.49,320.410431278495,342.55356431806,342.55356431806,342.55356431806,342.55356431806,342.55356431806,342.55356431806,342.55356431806,342.55356431806,342.55356431806,384.49606911635,0.1575,25900,3,0.98
307,360.73,359.42,361.42,362.91,362.41,364.12,361.71,363.09,360.93,342.88,350.45,320.449530333826,342.597040610044,342.597040610044,342.597040610044,342.597040610044,342.597040610044,342.597040610044,342.597040610044,342.597040610044,342.597040610044,384.539545408335,0.1575,25900,3,0.98
308,360.73,359.45,361.46,362.93,362.41,364.07,361.79,363.06,361.02,342.89,350.44,320.488625134797,342.640512748109,342.640512748109,342.640512748109,342.640512748109,342.640512748109,342.640512748109,342.640512748109,342.640512748109,342.640512748109,384.5830175464,0.1575,25900,3,0.98
309,360.76,359.45,361.5,362.95,362.39,364.01,361.82,363.06,361.13,342.87,350.39,320.527715681211,342.683980731885,342.683980731885,342.683980731885,342.683980731885,342.683980731885,342.683980731885,342.683980731885,342.683980731885,342.683980731885,384.626485530176,0.1575,25900,3,0.98
310,360.81,359.46,361.53,362.97,362.38,363.97,361.84,363.09,361.2,342.88,350.43,320.566801972871,342.727444561004,342.727444561004,342.727444561004,342.727444561004,342.727444561004,342.727444561004,342.727444561004,342.727444561004,342.727444561004,384.669949359295,0.1575,25900,3,0.98
311,360.86,359.47,361.55,363.0,362.36,363.95,361.84,363.12,361.21,342.91,350.4,320.605884009583,342.770904235097,342.770904235097,342.770904235097,342.770904235097,342.770904235097,342.770904235097,342.770904235097,342.770904235097,342.770904235097,384.713409033387,0.1575,25900,3,0.98
312,360.87,359.47,361.56,363.01,362.35,363.93,361.87,363.14,361.17,342.93,350.48,320.644961791148,342.814359753796,342.814359753796,342.814359753796,342.814359753796,342.814359753796,342.814359753796,342.814359753796,342.814359753796,342.814359753796,384.756864552086,0.1575,25900,3,0.98
313,360.85,359.46,361.55,363.02,362.33,363.94,361.89,363.19,361.14,342.92,350.47,320.684035317371,342.857811116732,342.857811116732,342.857811116732,342.857811116732,342.857811116732,342.857811116732,342.857811116732,342.857811116732,342.857811116732,384.800315915022,0.1575,25900,3,0.98
314,360.82,359.46,361.54,363.02,362.33,363.95,361.92,363.21,361.11,342.92,350.6,320.723104588057,342.901258323537,342.901258323537,342.901258323537,342.901258323537,342.901258323537,342.901258323537,342.901258323537,342.901258323537,342.901258323537,384.843763121828,0.1575,25900,3,0.98
315,360.78,359.47,361.53,363.03,362.35,363.97,361.72,363.21,361.1,342.94,350.63,320.762169603011,342.944701373845,342.944701373845,342.944701373845,342.944701373845,342.944701373845,342.944701373845,342.944701373845,342.944701373845,342.944701373845,384.887206172136,0.1575,25900,3,0.98
316,360.77,359.5,361.54,363.04,362.39,363.98,361.43,363.15,361.03,342.95,350.58,320.801230362036,342.988140267287,342.988140267287,342.988140267287,342.988140267287,342.988140267287,342.988140267287,342.988140267287,342.988140267287,342.988140267287,384.930645065577,0.1575,25900,3,0.98
317,360.79,359.51,361.55,363.03,362.43,363.98,361.35,363.1,360.98,342.96,350.65,320.840286864938,343.031575003495,343.031575003495,343.031575003495,343.031575003495,343.031575003495,343.031575003495,343.031575003495,343.031575003495,343.031575003495,384.974079801786,0.1575,25900,3,0.98
318,360.81,359.5,361.55,363.02,362.45,363.97,361.34,363.09,360.92,342.96,350.62,320.879339111521,343.075005582103,343.075005582103,343.075005582103,343.075005582103,343.075005582103,343.075005582103,343.075005582103,343.075005582103,343.075005582103,385.017510380393,0.1575,25900,3,0.98
319,360.85,359.5,361.54,363.0,362.47,363.95,361.36,363.11,360.85,343.01,350.53,320.918387101592,343.118432002743,343.118432002743,343.118432002743,343.118432002743,343.118432002743,343.118432002743,343.118432002743,343.118432002743,343.118432002743,385.060936801034,0.1575,25900,3,0.98
320,360.89,359.52,361.54,362.96,362.5,363.93,361.45,363.17,360.79,343.05,350.58,320.957430834954,343.161854265049,343.161854265049,343.161854265049,343.161854265049,343.161854265049,343.161854265049,343.161854265049,343.161854265049,343.161854265049,385.10435906334,0.1575,25900,3,0.98
321,360.94,359.54,361.54,362.93,362.5,363.91,361.54,363.22,360.74,343.12,350.64,320.996470311414,343.205272368654,343.205272368654,343.205272368654,343.205272368654,343.205272368654,343.205272368654,343.205272368654,343.205272368654,343.205272368654,385.147777166944,0.1575,25900,3,0.98
322,360.99,359.52,361.52,362.92,362.53,363.9,361.64,363.3,360.76,343.17,350.77,321.035505530778,343.24868631319,343.24868631319,343.24868631319,343.24868631319,343.24868631319,343.24868631319,343.24868631319,343.24868631319,343.24868631319,385.191191111481,0.1575,25900,3,0.98
323,361.04,359.48,361.48,362.91,362.55,363.89,361.77,363.37,360.8,343.22,350.77,321.074536492851,343.292096098293,343.292096098293,343.292096098293,343.292096098293,343.292096098293,343.292096098293,343.292096098293,343.292096098293,343.292096098293,385.234600896584,0.1575,25900,3,0.98
324,361.06,359.4,361.43,362.9,362.58,363.88,361.88,363.41,360.84,343.28,350.74,321.113563197439,343.335501723596,343.335501723596,343.335501723596,343.335501723596,343.335501723596,343.335501723596,343.335501723596,343.335501723596,343.335501723596,385.278006521886,0.1575,25900,3,0.98
325,361.06,359.3,361.41,362.9,362.59,363.9,361.93,363.42,360.89,343.31,350.83,321.152585644349,343.378903188731,343.378903188731,343.378903188731,343.378903188731,343.378903188731,343.378903188731,343.378903188731,343.378903188731,343.378903188731,385.321407987022,0.1575,25900,3,0.98
326,361.06,359.24,361.4,362.89,362.6,363.9,361.93,363.39,360.96,343.35,350.86,321.191603833387,343.422300493335,343.422300493335,343.422300493335,343.422300493335,343.422300493335,343.422300493335,343.422300493335,343.422300493335,343.422300493335,385.364805291626,0.1575,25900,3,0.98
327,361.06,359.27,361.4,362.89,362.61,363.92,361.89,363.38,361.05,343.39,350.82,321.23061776436,343.465693637042,343.465693637042,343.465693637042,343.465693637042,343.465693637042,343.465693637042,343.465693637042,343.465693637042,343.465693637042,385.408198435332,0.1575,25900,3,0.98
328,361.04,359.34,361.4,362.89,362.61,363.94,361.88,363.38,361.17,343.43,350.92,321.269627437074,343.509082619485,343.509082619485,343.509082619485,343.509082619485,343.509082619485,343.509082619485,343.509082619485,343.509082619485,343.509082619485,385.451587417775,0.1575,25900,3,0.98
329,361.05,359.36,361.39,362.9,362.61,363.97,361.87,363.46,361.26,343.5,350.7,321.308632851336,343.552467440299,343.552467440299,343.552467440299,343.552467440299,343.552467440299,343.552467440299,343.552467440299,343.552467440299,343.552467440299,385.49497223859,0.1575,25900,3,0.98
330,361.08,359.41,361.42,362.92,362.63,363.99,361.91,363.51,361.33,343.57,350.72,321.347634006954,343.59584809912,343.59584809912,343.59584809912,343.59584809912,343.59584809912,343.59584809912,343.59584809912,343.59584809912,343.59584809912,385.538352897411,0.1575,25900,3,0.98
331,361.07,359.45,361.44,362.94,362.63,364.03,361.94,363.51,361.32,343.64,350.71,321.386630903735,343.639224595583,343.639224595583,343.639224595583,343.639224595583,343.639224595583,343.639224595583,343.639224595583,343.639224595583,343.639224595583,385.581729393874,0.1575,25900,3,0.98
332,361.04,359.46,361.47,362.96,362.65,364.06,361.99,363.52,361.25,343.71,350.85,321.425623541485,343.682596929322,343.682596929322,343.682596929322,343.682596929322,343.682596929322,343.682596929322,343.682596929322,343.682596929322,343.682596929322,385.625101727613,0.1575,25900,3,0.98
