Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
58,362.11,361.1,361.64,361.99,361.56,363.52,361.66,362.13,358.25,333.09,232.54,310.16839015956,327.536241964079,327.536241964079,327.536241964079,327.536241964079,327.536241964079,327.536241964079,327.536241964079,327.536241964079,327.536241964079,361.306224595815,0.1575,19400,3,0.76
59,362.12,361.08,361.65,362.01,361.59,363.53,361.65,362.19,358.36,333.21,232.7,310.198656401961,327.569212503748,327.569212503748,327.569212503748,327.569212503748,327.569212503748,327.569212503748,327.569212503748,327.569212503748,327.569212503748,361.339195135484,0.1575,19400,3,0.76
60,362.13,361.07,361.65,362.01,361.6,363.55,361.64,362.3,358.45,333.33,233.05,310.228920214139,327.602180676723,327.602180676723,327.602180676723,327.602180676723,327.602180676723,327.602180676723,327.602180676723,327.602180676723,327.602180676723,361.372163308459,0.1575,19400,3,0.76
61,362.13,361.07,361.65,362.02,361.6,363.57,361.61,362.4,358.51,333.43,233.36,310.259181595977,327.635146482825,327.635146482825,327.635146482825,327.635146482825,327.635146482825,327.635146482825,327.635146482825,327.635146482825,327.635146482825,361.405129114561,0.1575,19400,3,0.76
62,362.13,361.07,361.64,362.03,361.62,363.58,361.59,362.44,358.5,333.51,233.6,310.289440547362,327.668109921875,327.668109921875,327.668109921875,327.668109921875,327.668109921875,327.668109921875,327.668109921875,327.668109921875,327.668109921875,361.438092553611,0.1575,19400,3,0.76
63,362.12,361.08,361.62,362.03,361.63,363.59,361.56,362.46,358.47,333.57,233.9,310.319697068178,327.701070993696,327.701070993696,327.701070993696,327.701070993696,327.701070993696,327.701070993696,327.701070993696,327.701070993696,327.701070993696,361.471053625432,0.1575,19400,3,0.76
64,362.11,361.08,361.6,362.02,361.64,363.58,361.53,362.46,358.43,333.65,234.13,310.349951158311,327.734029698108,327.734029698108,327.734029698108,327.734029698108,327.734029698108,327.734029698108,327.734029698108,327.734029698108,327.734029698108,361.504012329844,0.1575,19400,3,0.76
65,362.13,361.06,361.6,362.01,361.65,363.58,361.49,362.45,358.43,333.79,234.13,310.380202817644,327.766986034935,327.766986034935,327.766986034935,327.766986034935,327.766986034935,327.766986034935,327.766986034935,327.766986034935,327.766986034935,361.536968666671,0.1575,19400,3,0.76
66,362.14,361.03,361.6,362.01,361.67,363.58,361.46,362.45,358.56,333.96,234.17,310.410452046064,327.799940003998,327.799940003998,327.799940003998,327.799940003998,327.799940003998,327.799940003998,327.799940003998,327.799940003998,327.799940003998,361.569922635734,0.1575,19400,3,0.76
67,362.14,360.98,361.61,362.0,361.67,363.57,361.44,362.43,358.74,334.08,234.33,310.440698843457,327.832891605119,327.832891605119,327.832891605119,327.832891605119,327.832891605119,327.832891605119,327.832891605119,327.832891605119,327.832891605119,361.602874236855,0.1575,19400,3,0.76
68,362.13,360.95,361.61,361.99,361.68,363.54,361.46,362.39,358.95,334.2,234.54,310.470943209706,327.865840838119,327.865840838119,327.865840838119,327.865840838119,327.865840838119,327.865840838119,327.865840838119,327.865840838119,327.865840838119,361.635823469855,0.1575,19400,3,0.76
69,362.12,360.92,361.6,362.0,361.68,363.51,361.47,362.36,359.15,334.32,234.84,310.501185144698,327.898787702822,327.898787702822,327.898787702822,327.898787702822,327.898787702822,327.898787702822,327.898787702822,327.898787702822,327.898787702822,361.668770334558,0.1575,19400,3,0.76
