Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
476,364.33,362.1,364.49,365.4,364.68,366.77,366.45,367.07,367.74,357.15,260.34,335.861452784131,355.62749036286,355.62749036286,355.62749036286,355.62749036286,355.62749036286,355.62749036286,355.62749036286,355.62749036286,355.62749036286,397.569995161151,0.1575,25900,3,0.76
477,364.38,362.11,364.5,365.42,364.7,366.8,366.51,367.11,367.77,357.24,260.27,335.903088341749,355.673181159667,355.673181159667,355.673181159667,355.673181159667,355.673181159667,355.673181159667,355.673181159667,355.673181159667,355.673181159667,397.615685957957,0.1575,25900,3,0.76
478,364.44,362.14,364.49,365.45,364.73,366.83,366.55,367.16,367.8,357.33,260.03,335.944720017474,355.718868251028,355.718868251028,355.718868251028,355.718868251028,355.718868251028,355.718868251028,355.718868251028,355.718868251028,355.718868251028,397.661373049319,0.1575,25900,3,0.76
479,364.49,362.18,364.5,365.47,364.77,366.85,366.61,367.21,367.83,357.43,259.93,335.986347811036,355.764551636532,355.764551636532,355.764551636532,355.764551636532,355.764551636532,355.764551636532,355.764551636532,355.764551636532,355.764551636532,397.707056434823,0.1575,25900,3,0.76
480,364.51,362.26,364.53,365.49,364.8,366.89,366.64,367.25,367.84,357.5,259.92,336.027971722164,355.810231315763,355.810231315763,355.810231315763,355.810231315763,355.810231315763,355.810231315763,355.810231315763,355.810231315763,355.810231315763,397.752736114053,0.1575,25900,3,0.76
481,364.55,362.36,364.58,365.5,364.83,366.91,366.67,367.29,367.85,357.58,259.83,336.069591750587,355.855907288305,355.855907288305,355.855907288305,355.855907288305,355.855907288305,355.855907288305,355.855907288305,355.855907288305,355.855907288305,397.798412086596,0.1575,25900,3,0.76
482,364.64,362.41,364.65,365.51,364.87,366.95,366.64,367.3,367.84,357.64,259.81,336.111207896036,355.901579553747,355.901579553747,355.901579553747,355.901579553747,355.901579553747,355.901579553747,355.901579553747,355.901579553747,355.901579553747,397.844084352037,0.1575,25900,3,0.76
483,364.72,362.4,364.68,365.53,364.91,366.96,366.6,367.33,367.84,357.69,259.68,336.152820158238,355.947248111672,355.947248111672,355.947248111672,355.947248111672,355.947248111672,355.947248111672,355.947248111672,355.947248111672,355.947248111672,397.889752909963,0.1575,25900,3,0.76
484,364.74,362.44,364.72,365.55,364.95,366.98,366.63,367.34,367.83,357.7,259.59,336.194428536925,355.992912961669,355.992912961669,355.992912961669,355.992912961669,355.992912961669,355.992912961669,355.992912961669,355.992912961669,355.992912961669,397.935417759959,0.1575,25900,3,0.76
485,364.75,362.48,364.73,365.57,364.96,366.98,366.68,367.33,367.83,357.71,259.46,336.236033031826,356.038574103322,356.038574103322,356.038574103322,356.038574103322,356.038574103322,356.038574103322,356.038574103322,356.038574103322,356.038574103322,397.981078901613,0.1575,25900,3,0.76
486,364.78,362.49,364.76,365.59,365.01,366.98,366.68,367.29,367.82,357.73,259.3,336.277633642672,356.084231536219,356.084231536219,356.084231536219,356.084231536219,356.084231536219,356.084231536219,356.084231536219,356.084231536219,356.084231536219,398.026736334509,0.1575,25900,3,0.76
487,364.76,362.38,364.73,365.59,365.02,366.96,366.5,367.12,367.66,357.71,259.21,336.319230369192,356.129885259945,356.129885259945,356.129885259945,356.129885259945,356.129885259945,356.129885259945,356.129885259945,356.129885259945,356.129885259945,398.072390058236,0.1575,25900,3,0.76
488,364.64,362.19,364.66,365.52,364.99,366.9,366.24,366.79,367.41,357.65,259.22,336.360823211117,356.175535274088,356.175535274088,356.175535274088,356.175535274088,356.175535274088,356.175535274088,356.175535274088,356.175535274088,356.175535274088,398.118040072379,0.1575,25900,3,0.76
489,364.47,361.98,364.55,365.41,364.95,366.82,365.98,366.45,367.09,357.54,259.15,336.402412168176,356.221181578234,356.221181578234,356.221181578234,356.221181578234,356.221181578234,356.221181578234,356.221181578234,356.221181578234,356.221181578234,398.163686376525,0.1575,25900,3,0.76
490,364.29,361.77,364.42,365.26,364.87,366.73,365.71,366.12,366.74,357.39,259.03,336.443997240103,356.266824171971,356.266824171971,356.266824171971,356.266824171971,356.266824171971,356.266824171971,356.266824171971,356.266824171971,356.266824171971,398.209328970262,0.1575,25900,3,0.76
491,364.01,361.49,364.21,365.1,364.7,366.63,365.36,365.82,366.23,357.1,259.0,336.485578426625,356.312463054886,356.312463054886,356.312463054886,356.312463054886,356.312463054886,356.312463054886,356.312463054886,356.312463054886,356.312463054886,398.254967853176,0.1575,25900,3,0.76
492,363.8,361.28,364.03,364.92,364.53,366.51,365.09,365.58,365.75,356.79,258.87,336.527155727476,356.358098226564,356.358098226564,356.358098226564,356.358098226564,356.358098226564,356.358098226564,356.358098226564,356.358098226564,356.358098226564,398.300603024855,0.1575,25900,3,0.76
493,363.7,361.15,363.9,364.74,364.41,366.38,364.93,365.38,365.43,356.54,258.73,336.568729142385,356.403729686595,356.403729686595,356.403729686595,356.403729686595,356.403729686595,356.403729686595,356.403729686595,356.403729686595,356.403729686595,398.346234484885,0.1575,25900,3,0.76
