Time,TC1_tip,TC2,TC3,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
346,377.74,377.62,355.79,365.499304713743,393.083151158481,393.083151158481,393.083151158481,393.083151158481,393.083151158481,393.083151158481,393.083151158481,393.083151158481,393.083151158481,422.677573434528,0.0375,25900,25,0.98
347,377.77,377.64,355.82,365.640981283814,393.243193536931,393.243193536931,393.243193536931,393.243193536931,393.243193536931,393.243193536931,393.243193536931,393.243193536931,393.243193536931,422.837615812978,0.0375,25900,25,0.98
348,377.8,377.67,355.87,365.782580913537,393.403157144845,393.403157144845,393.403157144845,393.403157144845,393.403157144845,393.403157144845,393.403157144845,393.403157144845,393.403157144845,422.997579420892,0.0375,25900,25,0.98
349,377.83,377.69,355.9,365.924103604575,393.563041972632,393.563041972632,393.563041972632,393.563041972632,393.563041972632,393.563041972632,393.563041972632,393.563041972632,393.563041972632,423.157464248679,0.0375,25900,25,0.98
350,377.86,377.74,355.92,366.065549358644,393.722848010766,393.722848010766,393.722848010766,393.722848010766,393.722848010766,393.722848010766,393.722848010766,393.722848010766,393.722848010766,423.317270286813,0.0375,25900,25,0.98
351,377.9,377.77,355.97,366.206918177511,393.88257524978,393.88257524978,393.88257524978,393.88257524978,393.88257524978,393.88257524978,393.88257524978,393.882575249781,393.882575249781,423.476997525828,0.0375,25900,25,0.98
352,377.94,377.81,356.02,366.348210062999,394.042223680269,394.042223680269,394.042223680269,394.042223680269,394.042223680269,394.042223680269,394.042223680269,394.042223680269,394.042223680269,423.636645956316,0.0375,25900,25,0.98
353,377.97,377.86,356.09,366.48942501698,394.201793292887,394.201793292887,394.201793292887,394.201793292887,394.201793292887,394.201793292887,394.201793292887,394.201793292887,394.201793292887,423.796215568934,0.0375,25900,25,0.98
354,377.99,377.92,356.17,366.630563041381,394.361284078353,394.361284078353,394.361284078353,394.361284078353,394.361284078353,394.361284078353,394.361284078353,394.361284078353,394.361284078353,423.9557063544,0.0375,25900,25,0.98
355,378.02,377.97,356.2,366.771624138179,394.520696027445,394.520696027445,394.520696027444,394.520696027445,394.520696027444,394.520696027444,394.520696027444,394.520696027444,394.520696027444,424.115118303491,0.0375,25900,25,0.98
356,378.06,378.01,356.24,366.912608309407,394.680029131,394.680029131,394.680029131,394.680029131,394.680029131,394.680029131,394.680029131,394.680029131,394.680029131,424.274451407048,0.0375,25900,25,0.98
357,378.09,378.03,356.26,367.053515557147,394.839283379922,394.839283379922,394.839283379922,394.839283379922,394.839283379922,394.839283379922,394.839283379922,394.839283379922,394.839283379922,424.433705655969,0.0375,25900,25,0.98
358,378.12,378.04,356.27,367.194345883537,394.998458765171,394.998458765171,394.998458765171,394.998458765171,394.998458765171,394.998458765171,394.998458765171,394.998458765171,394.998458765171,424.592881041218,0.0375,25900,25,0.98
359,378.15,378.07,356.3,367.335099290764,395.15755527777,395.15755527777,395.15755527777,395.15755527777,395.15755527777,395.15755527777,395.15755527777,395.15755527777,395.15755527777,424.751977553817,0.0375,25900,25,0.98
360,378.18,378.13,356.31,367.475775781069,395.316572908804,395.316572908804,395.316572908804,395.316572908804,395.316572908804,395.316572908804,395.316572908804,395.316572908804,395.316572908804,424.910995184851,0.0375,25900,25,0.98
361,378.22,378.16,356.3,367.616375356747,395.475511649417,395.475511649417,395.475511649417,395.475511649417,395.475511649417,395.475511649417,395.475511649417,395.475511649417,395.475511649417,425.069933925464,0.0375,25900,25,0.98
362,378.26,378.19,356.28,367.756898020142,395.634371490817,395.634371490817,395.634371490817,395.634371490817,395.634371490817,395.634371490817,395.634371490817,395.634371490817,395.634371490817,425.228793766864,0.0375,25900,25,0.98
363,378.32,378.23,356.25,367.897343773652,395.793152424269,395.793152424269,395.793152424269,395.793152424269,395.793152424269,395.793152424269,395.793152424269,395.793152424269,395.793152424269,425.387574700316,0.0375,25900,25,0.98
364,378.35,378.28,356.23,368.037712619729,395.951854441105,395.951854441105,395.951854441105,395.951854441105,395.951854441105,395.951854441105,395.951854441105,395.951854441105,395.951854441105,425.546276717152,0.0375,25900,25,0.98
365,378.39,378.3,356.23,368.178004560874,396.110477532712,396.110477532712,396.110477532712,396.110477532713,396.110477532713,396.110477532713,396.110477532713,396.110477532713,396.110477532713,425.70489980876,0.0375,25900,25,0.98
366,378.42,378.32,356.27,368.318219599642,396.269021690543,396.269021690543,396.269021690543,396.269021690543,396.269021690543,396.269021690543,396.269021690543,396.269021690543,396.269021690543,425.86344396659,0.0375,25900,25,0.98
367,378.47,378.33,356.32,368.458357738642,396.427486906108,396.427486906108,396.427486906108,396.427486906109,396.427486906109,396.427486906109,396.427486906109,396.427486906109,396.427486906109,426.021909182156,0.0375,25900,25,0.98
368,378.53,378.35,356.36,368.59841898053,396.585873170982,396.585873170982,396.585873170982,396.585873170982,396.585873170982,396.585873170982,396.585873170982,396.585873170982,396.585873170982,426.180295447029,0.0375,25900,25,0.98
369,378.6,378.39,356.42,368.73840332802,396.744180476797,396.744180476797,396.744180476797,396.744180476797,396.744180476797,396.744180476797,396.744180476797,396.744180476797,396.744180476797,426.338602752844,0.0375,25900,25,0.98
370,378.65,378.43,356.44,368.878310783875,396.90240881525,396.90240881525,396.90240881525,396.90240881525,396.90240881525,396.90240881525,396.90240881525,396.90240881525,396.90240881525,426.496831091297,0.0375,25900,25,0.98
371,378.67,378.47,356.47,369.018141350911,397.060558178096,397.060558178096,397.060558178096,397.060558178096,397.060558178096,397.060558178096,397.060558178096,397.060558178096,397.060558178096,426.654980454143,0.0375,25900,25,0.98
372,378.69,378.54,356.51,369.157895031995,397.218628557154,397.218628557154,397.218628557154,397.218628557154,397.218628557154,397.218628557154,397.218628557154,397.218628557154,397.218628557154,426.813050833201,0.0375,25900,25,0.98
373,378.72,378.63,356.55,369.297571830046,397.3766199443,397.3766199443,397.3766199443,397.3766199443,397.3766199443,397.3766199443,397.3766199443,397.3766199443,397.3766199443,426.971042220347,0.0375,25900,25,0.98
374,378.74,378.68,356.58,369.437171748037,397.534532331475,397.534532331475,397.534532331475,397.534532331475,397.534532331475,397.534532331475,397.534532331475,397.534532331475,397.534532331475,427.128954607522,0.0375,25900,25,0.98
375,378.76,378.73,356.6,369.576694788991,397.692365710679,397.692365710679,397.692365710679,397.692365710679,397.692365710679,397.692365710679,397.692365710679,397.692365710678,397.692365710679,427.286787986725,0.0375,25900,25,0.98
376,378.78,378.74,356.63,369.716140955985,397.850120073972,397.850120073972,397.850120073972,397.850120073972,397.850120073972,397.850120073972,397.850120073972,397.850120073972,397.850120073972,427.444542350019,0.0375,25900,25,0.98
377,378.83,378.78,356.68,369.855510252146,398.007795413478,398.007795413478,398.007795413478,398.007795413478,398.007795413478,398.007795413478,398.007795413478,398.007795413478,398.007795413478,427.602217689525,0.0375,25900,25,0.98
378,378.86,378.82,356.71,369.994802680653,398.16539172138,398.16539172138,398.16539172138,398.16539172138,398.16539172138,398.16539172138,398.16539172138,398.16539172138,398.16539172138,427.759813997427,0.0375,25900,25,0.98
379,378.9,378.87,356.74,370.134018244737,398.322908989922,398.322908989922,398.322908989922,398.322908989922,398.322908989922,398.322908989922,398.322908989922,398.322908989922,398.322908989922,427.917331265969,0.0375,25900,25,0.98
380,378.96,378.91,356.81,370.273156947683,398.480347211408,398.480347211408,398.480347211408,398.480347211408,398.480347211408,398.480347211408,398.480347211408,398.480347211408,398.480347211408,428.074769487455,0.0375,25900,25,0.98
381,379.03,378.92,356.9,370.412218792824,398.637706378206,398.637706378206,398.637706378206,398.637706378206,398.637706378206,398.637706378206,398.637706378206,398.637706378206,398.637706378206,428.232128654253,0.0375,25900,25,0.98
382,379.07,378.94,356.94,370.551203783548,398.794986482742,398.794986482742,398.794986482742,398.794986482742,398.794986482742,398.794986482742,398.794986482742,398.794986482742,398.794986482742,428.389408758789,0.0375,25900,25,0.98
383,379.1,378.97,356.95,370.690111923293,398.952187517504,398.952187517504,398.952187517504,398.952187517504,398.952187517504,398.952187517503,398.952187517503,398.952187517503,398.952187517503,428.54660979355,0.0375,25900,25,0.98
384,379.14,379.0,356.97,370.828943215549,399.10930947504,399.10930947504,399.10930947504,399.10930947504,399.10930947504,399.10930947504,399.10930947504,399.10930947504,399.10930947504,428.703731751087,0.0375,25900,25,0.98
385,379.18,379.04,357.0,370.967697663859,399.266352347961,399.266352347961,399.266352347961,399.266352347961,399.266352347961,399.266352347961,399.266352347961,399.266352347961,399.266352347961,428.860774624008,0.0375,25900,25,0.98
386,379.23,379.07,357.02,371.106375271816,399.423316128938,399.423316128938,399.423316128938,399.423316128938,399.423316128938,399.423316128938,399.423316128938,399.423316128938,399.423316128938,429.017738404985,0.0375,25900,25,0.98
387,379.29,379.12,357.05,371.244976043064,399.580200810701,399.580200810701,399.580200810701,399.580200810701,399.580200810701,399.580200810701,399.580200810701,399.580200810701,399.580200810701,429.174623086748,0.0375,25900,25,0.98
388,379.35,379.16,357.08,371.383499981302,399.737006386042,399.737006386042,399.737006386042,399.737006386042,399.737006386042,399.737006386042,399.737006386042,399.737006386042,399.737006386042,429.331428662089,0.0375,25900,25,0.98
389,379.38,379.21,357.08,371.521947090276,399.893732847816,399.893732847816,399.893732847816,399.893732847816,399.893732847816,399.893732847816,399.893732847816,399.893732847816,399.893732847816,429.488155123863,0.0375,25900,25,0.98
390,379.39,379.25,357.07,371.660317373787,400.050380188935,400.050380188935,400.050380188935,400.050380188935,400.050380188935,400.050380188935,400.050380188935,400.050380188935,400.050380188935,429.644802464982,0.0375,25900,25,0.98
391,379.4,379.32,357.06,371.798610835687,400.206948402375,400.206948402375,400.206948402375,400.206948402375,400.206948402375,400.206948402375,400.206948402375,400.206948402375,400.206948402375,429.801370678422,0.0375,25900,25,0.98
392,379.42,379.38,357.09,371.936827479876,400.363437481171,400.363437481171,400.363437481171,400.363437481171,400.363437481171,400.363437481171,400.363437481171,400.363437481171,400.363437481171,429.957859757218,0.0375,25900,25,0.98
393,379.44,379.39,357.13,372.074967310312,400.519847418419,400.519847418419,400.519847418419,400.519847418419,400.519847418419,400.519847418419,400.519847418419,400.519847418419,400.519847418419,430.114269694466,0.0375,25900,25,0.98
394,379.47,379.39,357.16,372.213030330998,400.676178207276,400.676178207276,400.676178207276,400.676178207276,400.676178207276,400.676178207276,400.676178207276,400.676178207276,400.676178207276,430.270600483323,0.0375,25900,25,0.98
395,379.49,379.42,357.18,372.351016545992,400.83242984096,400.83242984096,400.83242984096,400.83242984096,400.83242984096,400.83242984096,400.83242984096,400.83242984096,400.83242984096,430.426852117007,0.0375,25900,25,0.98
396,379.51,379.47,357.21,372.488925959402,400.98860231275,400.98860231275,400.98860231275,400.98860231275,400.98860231275,400.98860231275,400.98860231275,400.98860231275,400.98860231275,430.583024588797,0.0375,25900,25,0.98
397,379.54,379.5,357.23,372.626758575387,401.144695615984,401.144695615984,401.144695615984,401.144695615984,401.144695615984,401.144695615984,401.144695615984,401.144695615984,401.144695615984,430.739117892031,0.0375,25900,25,0.98
398,379.57,379.52,357.24,372.764514398159,401.300709744063,401.300709744063,401.300709744063,401.300709744063,401.300709744063,401.300709744063,401.300709744063,401.300709744063,401.300709744063,430.89513202011,0.0375,25900,25,0.98
399,379.63,379.57,357.25,372.902193431979,401.456644690447,401.456644690447,401.456644690447,401.456644690447,401.456644690447,401.456644690447,401.456644690447,401.456644690447,401.456644690447,431.051066966494,0.0375,25900,25,0.98
400,379.69,379.61,357.25,373.039795681161,401.612500448657,401.612500448657,401.612500448657,401.612500448657,401.612500448657,401.612500448657,401.612500448657,401.612500448657,401.612500448657,431.206922724704,0.0375,25900,25,0.98
401,379.71,379.64,357.27,373.17732115007,401.768277012275,401.768277012275,401.768277012275,401.768277012275,401.768277012275,401.768277012275,401.768277012275,401.768277012275,401.768277012275,431.362699288323,0.0375,25900,25,0.98
402,379.76,379.68,357.28,373.31476984312,401.923974374945,401.923974374945,401.923974374945,401.923974374945,401.923974374945,401.923974374945,401.923974374945,401.923974374945,401.923974374945,431.518396650992,0.0375,25900,25,0.98
403,379.82,379.71,357.27,373.452141764779,402.079592530368,402.079592530368,402.079592530368,402.079592530368,402.079592530368,402.079592530368,402.079592530368,402.079592530368,402.079592530368,431.674014806415,0.0375,25900,25,0.98
404,379.87,379.73,357.29,373.589436919563,402.235131472309,402.235131472309,402.235131472309,402.235131472309,402.235131472309,402.235131472309,402.235131472309,402.235131472309,402.235131472309,431.829553748356,0.0375,25900,25,0.98
