Time,TC1_tip,TC2,TC3,TC4,TC5,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
386,368.43,368.22,370.47,372.39,365.69,368.160723850483,396.091523373406,396.092240033974,396.092956694543,396.093673355111,396.075613296474,396.050708075966,396.050708075966,396.050708075966,396.050708075966,408.427230272583,0.084,25900,25,0.98
387,368.45,368.3,370.49,372.4,365.7,368.217898227743,396.156207275864,396.156969222284,396.157731168704,396.158493115124,396.140806336711,396.116047402147,396.116047402147,396.116047402147,396.116047402147,408.492569598764,0.084,25900,25,0.98
388,368.45,368.35,370.53,372.42,365.72,368.275048300951,396.220866147688,396.221674747872,396.222483348057,396.223291948242,396.205976013419,396.181363363079,396.181363363079,396.181363363079,396.181363363079,408.557885559696,0.084,25900,25,0.98
389,368.47,368.39,370.55,372.43,365.75,368.332174080432,396.285499997638,396.286356617781,396.287213237923,396.288069858066,396.271122428997,396.246655983226,396.246655983226,396.246655983226,396.246655983226,408.623178179843,0.084,25900,25,0.98
390,368.48,368.42,370.59,372.45,365.78,368.389275576518,396.350108834482,396.351014839059,396.351920843636,396.352826848214,396.33624559309,396.311925287038,396.311925287038,396.311925287038,396.311925287038,408.688447483655,0.084,25900,25,0.98
391,368.5,368.44,370.64,372.47,365.8,368.446352799547,396.414692666997,396.41564941877,396.416606170544,396.417562922317,396.401345479227,396.377171298954,396.377171298954,396.377171298954,396.377171298954,408.753693495571,0.084,25900,25,0.98
392,368.52,368.44,370.66,372.49,365.81,368.503405759863,396.479251503965,396.480260363975,396.481269223985,396.482278083995,396.466422195206,396.442394043367,396.442394043367,396.442394043367,396.442394043367,408.818916239984,0.084,25900,25,0.98
393,368.55,368.44,370.69,372.51,365.83,368.560434467813,396.54378535418,396.544847681759,396.545910009338,396.546972336918,396.53147568896,396.507593544696,396.507593544696,396.507593544696,396.507593544696,408.884115741313,0.084,25900,25,0.98
394,368.58,368.41,370.71,372.54,365.82,368.61743893376,396.608294226435,396.609411379178,396.610528531922,396.611645684665,396.596506017263,396.572769827224,396.572769827224,396.572769827224,396.572769827224,408.949292023841,0.084,25900,25,0.98
395,368.61,368.42,370.75,372.56,365.81,368.674419168061,396.672778129541,396.673951463337,396.675124797133,396.676298130929,396.661513249466,396.637922915335,396.637922915335,396.637922915335,396.637922915335,409.014445111952,0.084,25900,25,0.98
