Time,TC1_tip,TC2,TC3,TC4,TC5,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
114,362.58,363.38,364.28,365.03,356.43,325.970396892842,348.742071068099,348.742419942667,348.742768817234,348.721062034734,347.452536309008,347.338571354012,347.338571354012,347.338571354012,347.338571354012,359.715093550629,0.084,25900,25,0.98
115,362.66,363.41,364.32,365.08,356.47,326.044183874639,348.824261408606,348.824593739184,348.824926069762,348.803697715451,347.538090362263,347.424235601197,347.424235601197,347.424235601197,347.424235601197,359.800757797814,0.084,25900,25,0.98
116,362.75,363.44,364.37,365.12,356.53,326.117943017525,348.906423080945,348.906739209274,348.907055337603,348.886304740388,347.623615744673,347.50987147872,347.50987147872,347.50987147872,347.50987147872,359.886393675337,0.084,25900,25,0.98
117,362.8,363.51,364.43,365.17,356.57,326.191674328593,348.988556094838,348.988856367492,348.989156640145,348.968883126603,347.709112429219,347.595478958144,347.595478958144,347.595478958144,347.595478958144,359.972001154761,0.084,25900,25,0.98
118,362.83,363.54,364.46,365.22,356.59,326.265377814896,349.070660459946,349.070945228317,349.071229996689,349.051415426592,347.794580389217,347.681058011374,347.681058011374,347.681058011374,347.681058011374,360.057580207991,0.084,25900,25,0.98
119,362.87,363.6,364.5,365.28,356.59,326.339053483434,349.152736185877,349.153005806173,349.153275426469,349.133917912022,347.880019598335,347.766608610671,347.766608610671,347.766608610671,347.766608610671,360.143130807288,0.084,25900,25,0.98
120,362.9,363.66,364.54,365.32,356.61,326.412701341176,349.23478328218,349.2350381154,349.235292948619,349.216391850636,347.965430030558,347.852130728624,347.852130728624,347.852130728624,347.852130728624,360.228652925241,0.084,25900,25,0.98
121,362.91,363.72,364.57,365.36,356.61,326.486321395039,349.31680175835,349.31704217028,349.31728258221,349.298837259796,348.05081166022,347.937624338174,347.937624338174,347.937624338174,347.937624338174,360.314146534791,0.084,25900,25,0.98
122,362.94,363.76,364.6,365.4,356.59,326.559913651902,349.398791623826,349.399017985023,349.39924434622,349.381244203692,348.136164461977,348.023089412594,348.023089412594,348.023089412594,348.023089412594,360.399611609211,0.084,25900,25,0.98
123,363.0,363.79,364.63,365.42,356.58,326.633478118606,349.480752887991,349.480965573763,349.481178259536,349.463613725409,348.221488410803,348.108525925481,348.108525925481,348.108525925481,348.108525925481,360.485048122098,0.084,25900,25,0.98
124,363.02,363.8,364.66,365.45,356.58,326.707014801948,349.562685560174,349.562884950579,349.563084340985,349.545954812038,348.306783482019,348.193933850785,348.193933850785,348.193933850785,348.193933850785,360.570456047402,0.084,25900,25,0.98
125,363.05,363.84,364.7,365.48,356.64,326.780523708687,349.64458964965,349.64477612947,349.64496260929,349.628267481185,348.392049651251,348.279313162767,348.279313162767,348.279313162767,348.279313162767,360.655835359384,0.084,25900,25,0.98
126,363.08,363.87,364.74,365.5,356.68,326.854004845539,349.726465165642,349.726639124378,349.726813083113,349.710548391238,348.477286894461,348.364663836036,348.364663836036,348.364663836036,348.364663836036,360.741186032653,0.084,25900,25,0.98
127,363.1,363.88,364.77,365.52,356.69,326.927458219189,349.808312117316,349.808473949164,349.808635781012,349.79278519603,348.562495187916,348.449985845504,348.449985845504,348.449985845504,348.449985845504,360.826508042121,0.084,25900,25,0.98
128,363.14,363.91,364.8,365.55,356.67,327.000883836273,349.89013051379,349.89028061764,349.890430721489,349.874993680096,348.647674508217,348.535279166431,348.535279166431,348.535279166431,348.535279166431,360.911801363048,0.084,25900,25,0.98
129,363.16,363.94,364.83,365.58,356.66,327.074281703398,349.971920364126,349.972059143539,349.972197922951,349.957173861299,348.732824832273,348.620543774388,348.620543774388,348.620543774388,348.620543774388,360.997065971005,0.084,25900,25,0.98
130,363.17,363.96,364.86,365.59,356.67,327.147651827129,350.053681677338,350.053809540531,350.053937403724,350.039325757495,348.817948031677,348.705779645266,348.705779645266,348.705779645266,348.705779645266,361.082301841883,0.084,25900,25,0.98
131,363.18,363.97,364.89,365.63,356.68,327.220994213998,350.135414462383,350.135531822218,350.135649182052,350.121432420584,348.903042867669,348.79098675527,348.79098675527,348.79098675527,348.79098675527,361.167508951887,0.084,25900,25,0.98
132,363.18,363.98,364.92,365.66,356.69,327.294308870495,350.217118728174,350.217226002143,350.217333276113,350.203508566403,348.988108634142,348.876165080936,348.876165080936,348.876165080936,348.876165080936,361.252687277553,0.084,25900,25,0.98
133,363.19,364.0,364.95,365.68,356.68,327.367595803079,350.298794483569,350.298892093776,350.298989703984,350.28555652651,349.073145309205,348.961314599097,348.961314599097,348.961314599097,348.961314599097,361.337836795714,0.084,25900,25,0.98
134,363.22,364.04,365.0,365.71,356.66,327.440855018172,350.380441737378,350.380530110529,350.380618483681,350.367576318992,349.158152871282,349.04643528691,349.04643528691,349.04643528691,349.04643528691,361.422957483527,0.084,25900,25,0.98
135,363.24,364.09,365.04,365.73,356.6,327.514086522162,350.46206049836,350.462140065744,350.462219633127,350.449555551897,349.243131299096,349.131527121834,349.131527121834,349.131527121834,349.131527121834,361.508049318451,0.084,25900,25,0.98
136,363.24,364.12,365.08,365.76,356.54,327.5872903214,350.543650775228,350.543721972705,350.543793170183,350.531499638418,349.328080571681,349.216590081648,349.216590081648,349.216590081648,349.216590081648,361.593112278264,0.084,25900,25,0.98
137,363.27,364.16,365.12,365.76,356.49,327.660466422207,350.625212576642,350.625275844625,350.625339112607,350.61341565885,349.413000668355,349.301624144418,349.301624144418,349.301624144418,349.301624144418,361.678146341035,0.084,25900,25,0.98
138,363.27,364.19,365.15,365.79,356.45,327.733614830867,350.706745911219,350.70680169466,350.706857478101,350.69530363149,349.497891568753,349.386629288534,349.386629288534,349.386629288534,349.386629288534,361.763151485151,0.084,25900,25,0.98
139,363.3,364.23,365.18,365.82,356.41,327.816341060065,350.798919385166,350.798919385166,350.798919385166,350.729220073208,349.554068507339,349.443658683455,349.443658683455,349.443658683455,349.443658683455,361.820180880072,0.084,25900,25,0.98
140,363.34,364.26,365.21,365.85,356.34,327.888750593898,350.87963940378,350.87963940378,350.87963940378,350.814436251283,349.640902810252,349.530554915433,349.530554915433,349.530554915433,349.530554915433,361.90707711205,0.084,25900,25,0.98
141,363.37,364.28,365.23,365.87,356.32,327.961128712898,350.960326403895,350.960326403895,350.960326403895,350.899641955074,349.727725125438,349.617439201285,349.617439201285,349.617439201285,349.617439201285,361.993961397902,0.084,25900,25,0.98
142,363.43,364.31,365.27,365.89,356.32,328.033475428988,351.040980396436,351.040980396436,351.040980396436,350.984833889709,349.814535455305,349.704311543026,349.704311543026,349.704311543026,349.704311543026,362.080833739643,0.084,25900,25,0.98
143,363.45,364.36,365.31,365.92,356.39,328.105790754088,351.12160139233,351.12160139233,351.12160139233,351.07000798455,349.901333802288,349.791171942706,349.791171942706,349.791171942706,349.791171942706,362.167694139323,0.084,25900,25,0.98
144,363.43,364.39,365.34,365.93,356.46,328.17807470012,351.202189402507,351.202189402507,351.202189402507,351.15517164311,349.988120168852,349.878020402407,349.878020402407,349.878020402407,349.878020402407,362.254542599023,0.084,25900,25,0.98
145,363.39,364.4,365.36,365.95,356.52,328.250327279004,351.282744437897,351.282744437897,351.282744437897,351.240324870448,350.07489455749,349.964856924242,349.964856924242,349.964856924242,349.964856924242,362.341379120859,0.084,25900,25,0.98
146,363.35,364.41,365.39,365.97,356.59,328.322548502663,351.363266509432,351.363266509432,351.363266509432,351.325467671588,350.16165697072,350.051681510359,350.051681510359,350.051681510359,350.051681510359,362.428203706975,0.084,25900,25,0.98
147,363.37,364.43,365.41,366.0,356.66,328.394738383018,351.443755628049,351.443755628049,351.443755628049,351.410600051521,350.248407411092,350.138494162935,350.138494162935,350.138494162935,350.138494162935,362.515016359552,0.084,25900,25,0.98
148,363.38,364.45,365.44,366.04,356.75,328.466896931991,351.524211804682,351.524211804682,351.524211804682,351.495722015206,350.335145881178,350.22529488418,350.22529488418,350.22529488418,350.22529488418,362.601817080797,0.084,25900,25,0.98
149,363.38,364.47,365.47,366.09,356.83,328.539024161505,351.604635050272,351.604635050272,351.604635050272,351.580833567569,350.421872383579,350.312083676333,350.312083676333,350.312083676333,350.312083676333,362.68860587295,0.084,25900,25,0.98
150,363.4,364.51,365.49,366.13,356.92,328.611120083481,351.685025375758,351.685025375758,351.685025375758,351.665926982361,350.508587904827,350.398860541664,350.398860541664,350.398860541664,350.398860541664,362.775382738281,0.084,25900,25,0.98
151,363.4,364.52,365.52,366.17,357.02,328.683184709841,351.765382792084,351.765382792084,351.765382792084,351.751007028036,350.595291841391,350.485625482472,350.485625482472,350.485625482472,350.485625482472,362.862147679089,0.084,25900,25,0.98
152,363.43,364.53,365.54,366.23,357.18,328.755218052507,351.845707310192,351.845707310192,351.845707310192,351.836076699673,350.681983815399,350.572378501086,350.572378501086,350.572378501086,350.572378501086,362.948900697703,0.084,25900,25,0.98
153,363.49,364.57,365.58,366.28,357.33,328.827220123403,351.926407502167,351.926915527283,351.927423552399,351.921136002053,350.768663829554,350.659119599863,350.659119599863,350.659119599863,350.659119599863,363.03564179648,0.084,25900,25,0.98
154,363.53,364.58,365.6,366.32,357.41,328.899190934449,352.007660984743,352.009405853116,352.011150721489,352.006184939923,350.855331886587,350.745848781189,350.745848781189,350.745848781189,350.745848781189,363.122370977806,0.084,25900,25,0.98
155,363.53,364.59,365.63,366.36,357.48,328.971708490513,352.088749571255,352.090765594486,352.092781617718,352.088329595672,350.940224527757,350.830845626449,350.830845626449,350.830845626449,350.830845626449,363.207367823066,0.084,25900,25,0.98
156,363.54,364.61,365.66,366.39,357.55,329.04438763736,352.169765030042,352.171734704221,352.173704378401,352.169490723341,351.024510944773,350.915250604878,350.915250604878,350.915250604878,350.915250604878,363.291772801496,0.084,25900,25,0.98
157,363.53,364.6,365.68,366.41,357.61,329.117039286689,352.250752173207,352.252675910313,352.254599647419,352.250611830388,351.108767212128,350.999625703212,350.999625703212,350.999625703212,350.999625703212,363.376147899829,0.084,25900,25,0.98
158,363.55,364.6,365.69,366.44,357.65,329.189663443395,352.331711008353,352.333589225538,352.335467442723,352.331705040457,351.192993315434,351.083970905895,351.083970905895,351.083970905895,351.083970905895,363.460493102512,0.084,25900,25,0.98
159,363.59,364.61,365.7,366.46,357.67,329.262260112331,352.412641543048,352.414474662651,352.416307782254,352.412770374633,351.277189240637,351.16828619771,351.16828619771,351.16828619771,351.16828619771,363.544808394327,0.084,25900,25,0.98
