Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9,Depth_10,Depth_11,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
146,364.66,369.02,371.88,373.39,373.18,375.92,374.46,375.92,374.21,339.8,0,,,,,,,,,,,0,,,,,,,,,,
147,364.62,369,371.86,373.39,373.18,375.94,374.46,375.88,374.15,339.83,0,,,,,,,,,,,0,,,,,,,,,,
148,364.6,368.98,371.84,373.39,373.18,375.94,374.46,375.85,374.08,339.82,0,,,,,,,,,,,0,,,,,,,,,,
149,364.58,368.96,371.83,373.4,373.17,375.95,374.46,375.89,374.02,339.83,0,,,,,,,,,,,0,,,,,,,,,,
150,364.56,368.94,371.82,373.39,373.17,375.96,374.47,375.94,373.95,339.8,0,,,,,,,,,,,0,,,,,,,,,,
151,364.53,368.92,371.82,373.38,373.17,375.96,374.48,375.98,373.95,339.79,0,,,,,,,,,,,0,,,,,,,,,,
152,364.5,368.89,371.8,373.38,373.18,375.96,374.51,375.99,374.03,339.78,0,,,,,,,,,,,0,,,,,,,,,,
153,364.47,368.86,371.78,373.38,373.17,375.98,374.53,376.01,374.07,339.77,0,,,,,,,,,,,0,,,,,,,,,,
154,364.45,368.83,371.77,373.38,373.17,375.99,374.57,376.05,374.1,339.74,0,,,,,,,,,,,0,,,,,,,,,,
155,364.43,368.81,371.77,373.39,373.17,375.99,374.6,376.07,374.12,339.69,0,,,,,,,,,,,0,,,,,,,,,,
156,364.42,368.79,371.75,373.39,373.18,376,374.62,376.07,374.14,339.64,0,,,,,,,,,,,0,,,,,,,,,,
157,364.4,368.77,371.75,373.38,373.17,376,374.63,376.08,374.16,339.65,0,,,,,,,,,,,0,,,,,,,,,,
158,364.39,368.76,371.73,373.38,373.18,376.01,374.64,376.06,374.13,339.72,0,,,,,,,,,,,0,,,,,,,,,,
159,364.37,368.75,371.74,373.39,373.19,376.02,374.66,376.1,374.14,339.8,0,,,,,,,,,,,0,,,,,,,,,,
160,364.35,368.74,371.73,373.39,373.19,376.04,374.69,376.17,374.19,339.76,0,,,,,,,,,,,0,,,,,,,,,,
161,364.32,368.72,371.71,373.4,373.19,376.06,374.75,376.19,374.2,339.76,0,,,,,,,,,,,0,,,,,,,,,,
162,364.29,368.7,371.7,373.4,373.19,376.06,374.79,376.2,374.18,339.81,0,,,,,,,,,,,0,,,,,,,,,,
163,364.25,368.67,371.69,373.39,373.19,376.08,374.83,376.18,374.16,339.89,0,,,,,,,,,,,0,,,,,,,,,,
164,364.23,368.65,371.69,373.39,373.18,376.1,374.86,376.15,374.12,339.94,0,,,,,,,,,,,0,,,,,,,,,,
