Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9,Depth_10,Depth_11,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
119,376.47,376.87,377.33,378.22,377.79,380.02,377.97,378.56,377.34,363.42,0,,,,,,,,,,,0,,,,,,,,,,
120,376.67,377.03,377.4,378.3,377.84,380.05,377.97,378.56,377.25,363.56,0,,,,,,,,,,,0,,,,,,,,,,
121,376.86,377.16,377.49,378.38,377.91,380.08,377.97,378.53,377.18,363.68,0,,,,,,,,,,,0,,,,,,,,,,
122,376.97,377.26,377.54,378.43,377.95,380.1,377.95,378.48,377.1,363.76,0,,,,,,,,,,,0,,,,,,,,,,
123,377.08,377.39,377.61,378.5,377.99,380.11,377.96,378.45,377.07,363.86,0,,,,,,,,,,,0,,,,,,,,,,
124,377.2,377.49,377.68,378.55,378.03,380.15,378,378.55,377.13,363.92,0,,,,,,,,,,,0,,,,,,,,,,
125,377.32,377.6,377.74,378.6,378.06,380.17,377.99,378.52,377.12,363.99,0,,,,,,,,,,,0,,,,,,,,,,
126,377.47,377.73,377.82,378.65,378.09,380.19,377.96,378.45,377.07,364.04,0,,,,,,,,,,,0,,,,,,,,,,
127,377.6,377.78,377.88,378.69,378.12,380.22,377.96,378.39,377.02,364.09,0,,,,,,,,,,,0,,,,,,,,,,
128,377.71,377.84,377.96,378.76,378.16,380.23,377.96,378.32,376.94,364.11,0,,,,,,,,,,,0,,,,,,,,,,
129,377.85,377.94,378.05,378.8,378.2,380.24,377.89,378.28,376.83,364.12,0,,,,,,,,,,,0,,,,,,,,,,
130,377.97,378.07,378.14,378.84,378.26,380.25,377.9,378.3,376.83,364.13,0,,,,,,,,,,,0,,,,,,,,,,
131,378.06,378.17,378.22,378.89,378.3,380.26,377.9,378.28,376.77,364.13,0,,,,,,,,,,,0,,,,,,,,,,
132,378.15,378.26,378.3,378.96,378.34,380.27,377.9,378.29,376.7,364.12,0,,,,,,,,,,,0,,,,,,,,,,
133,378.23,378.32,378.37,379.01,378.38,380.29,377.9,378.2,376.65,364.07,0,,,,,,,,,,,0,,,,,,,,,,
134,378.29,378.35,378.45,379.07,378.41,380.31,377.89,378.27,376.64,364.03,0,,,,,,,,,,,0,,,,,,,,,,
135,378.35,378.4,378.52,379.11,378.44,380.32,377.91,378.38,376.67,363.98,0,,,,,,,,,,,0,,,,,,,,,,
136,378.39,378.43,378.56,379.16,378.47,380.34,377.91,378.4,376.75,363.92,0,,,,,,,,,,,0,,,,,,,,,,
137,378.39,378.45,378.61,379.18,378.49,380.36,377.91,378.42,376.83,363.8,0,,,,,,,,,,,0,,,,,,,,,,
138,378.4,378.47,378.65,379.2,378.51,380.37,377.92,378.44,376.9,363.62,0,,,,,,,,,,,0,,,,,,,,,,
139,378.36,378.46,378.67,379.21,378.53,380.38,377.94,378.46,376.96,363.49,0,,,,,,,,,,,0,,,,,,,,,,
140,378.35,378.47,378.69,379.23,378.55,380.4,377.95,378.44,376.97,363.37,0,,,,,,,,,,,0,,,,,,,,,,
141,378.33,378.48,378.69,379.26,378.56,380.41,377.96,378.48,376.94,363.24,0,,,,,,,,,,,0,,,,,,,,,,
142,378.3,378.46,378.7,379.26,378.57,380.41,377.92,378.41,376.9,363.08,0,,,,,,,,,,,0,,,,,,,,,,
143,378.25,378.43,378.71,379.25,378.58,380.4,377.9,378.32,376.82,362.94,0,,,,,,,,,,,0,,,,,,,,,,
144,378.24,378.42,378.72,379.24,378.59,380.39,377.86,378.23,376.73,362.81,0,,,,,,,,,,,0,,,,,,,,,,
145,378.22,378.38,378.72,379.24,378.59,380.38,377.81,378.16,376.65,362.68,0,,,,,,,,,,,0,,,,,,,,,,
146,378.2,378.36,378.72,379.22,378.6,380.37,377.73,378.02,376.63,362.54,0,,,,,,,,,,,0,,,,,,,,,,
147,378.13,378.36,378.72,379.22,378.58,380.35,377.51,377.7,376.74,362.35,0,,,,,,,,,,,0,,,,,,,,,,
148,378.07,378.35,378.71,379.21,378.55,380.32,377.32,377.73,376.82,362.21,0,,,,,,,,,,,0,,,,,,,,,,
149,378.02,378.33,378.7,379.19,378.53,380.26,377.29,377.9,376.81,362.11,0,,,,,,,,,,,0,,,,,,,,,,
150,377.95,378.32,378.7,379.17,378.52,380.21,377.35,378.02,376.78,361.99,0,,,,,,,,,,,0,,,,,,,,,,
151,377.9,378.3,378.69,379.16,378.51,380.16,377.39,378,376.8,361.86,0,,,,,,,,,,,0,,,,,,,,,,
152,377.87,378.27,378.68,379.15,378.5,380.14,377.41,378.03,376.8,361.68,0,,,,,,,,,,,0,,,,,,,,,,
153,377.83,378.24,378.66,379.12,378.48,380.13,377.38,378.1,376.79,361.53,0,,,,,,,,,,,0,,,,,,,,,,
154,377.79,378.2,378.63,379.08,378.45,380.12,377.38,378.11,376.69,361.44,0,,,,,,,,,,,0,,,,,,,,,,
155,377.75,378.18,378.6,379.03,378.42,380.09,377.38,378.07,376.54,361.39,0,,,,,,,,,,,0,,,,,,,,,,
156,377.63,378.12,378.54,378.99,378.37,380.07,377.38,378.14,376.56,361.32,0,,,,,,,,,,,0,,,,,,,,,,
157,377.52,378.08,378.49,378.98,378.33,380.07,377.4,378.21,376.68,361.28,0,,,,,,,,,,,0,,,,,,,,,,
158,377.47,378.07,378.46,378.98,378.29,380.05,377.42,378.35,376.73,361.33,0,,,,,,,,,,,0,,,,,,,,,,
159,377.44,378.02,378.44,378.98,378.27,380.05,377.41,378.41,376.71,361.39,0,,,,,,,,,,,0,,,,,,,,,,
160,377.41,377.97,378.41,378.97,378.26,380.02,377.41,378.39,376.69,361.45,0,,,,,,,,,,,0,,,,,,,,,,
161,377.41,377.94,378.4,378.95,378.25,379.99,377.41,378.34,376.68,361.52,0,,,,,,,,,,,0,,,,,,,,,,
162,377.41,377.93,378.38,378.92,378.24,379.96,377.46,378.31,376.66,361.59,0,,,,,,,,,,,0,,,,,,,,,,
163,377.41,377.92,378.35,378.87,378.22,379.95,377.5,378.29,376.59,361.69,0,,,,,,,,,,,0,,,,,,,,,,
164,377.41,377.9,378.32,378.83,378.19,379.94,377.52,378.28,376.48,361.79,0,,,,,,,,,,,0,,,,,,,,,,
165,377.37,377.87,378.3,378.8,378.16,379.94,377.56,378.32,376.4,361.92,0,,,,,,,,,,,0,,,,,,,,,,
166,377.32,377.81,378.26,378.78,378.12,379.93,377.62,378.37,376.34,362.05,0,,,,,,,,,,,0,,,,,,,,,,
167,377.27,377.8,378.25,378.73,378.09,379.93,377.67,378.45,376.34,362.12,0,,,,,,,,,,,0,,,,,,,,,,
168,377.22,377.79,378.23,378.69,378.07,379.95,377.71,378.58,376.36,362.2,0,,,,,,,,,,,0,,,,,,,,,,
