Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC_9_5,TC10,Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9,Depth_10,Depth_11,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
95,368.27,370.51,371.82,373.01,372.52,375.02,372.47,373.36,372.44,364.89,355.8,0,,,,,,,,,,,0,,,,,,,,,,
96,368.24,370.5,371.81,372.99,372.52,375.02,372.48,373.39,372.52,364.98,355.86,0,,,,,,,,,,,0,,,,,,,,,,
97,368.21,370.48,371.81,372.98,372.51,375.02,372.48,373.41,372.6,364.98,355.89,0,,,,,,,,,,,0,,,,,,,,,,
98,368.17,370.46,371.81,372.97,372.51,375,372.49,373.43,372.64,364.98,355.91,0,,,,,,,,,,,0,,,,,,,,,,
99,368.11,370.44,371.79,372.96,372.5,375,372.5,373.45,372.67,364.98,355.94,0,,,,,,,,,,,0,,,,,,,,,,
100,368.07,370.41,371.79,372.96,372.49,375,372.5,373.45,372.68,364.96,355.92,0,,,,,,,,,,,0,,,,,,,,,,
101,368.01,370.38,371.78,372.95,372.49,374.99,372.51,373.44,372.68,364.94,355.89,0,,,,,,,,,,,0,,,,,,,,,,
102,367.93,370.35,371.77,372.94,372.49,375,372.53,373.45,372.72,364.96,355.92,0,,,,,,,,,,,0,,,,,,,,,,
103,367.85,370.31,371.76,372.93,372.5,374.99,372.53,373.44,372.75,365.02,355.97,0,,,,,,,,,,,0,,,,,,,,,,
104,367.8,370.29,371.75,372.94,372.5,374.99,372.53,373.44,372.76,365.08,356.01,0,,,,,,,,,,,0,,,,,,,,,,
105,367.75,370.26,371.75,372.95,372.51,375,372.53,373.43,372.79,365.04,356.05,0,,,,,,,,,,,0,,,,,,,,,,
106,367.72,370.24,371.74,372.94,372.5,375,372.53,373.43,372.84,364.98,356.06,0,,,,,,,,,,,0,,,,,,,,,,
107,367.68,370.22,371.73,372.93,372.51,375,372.53,373.43,372.89,364.96,356.08,0,,,,,,,,,,,0,,,,,,,,,,
108,367.65,370.19,371.72,372.92,372.5,375,372.51,373.43,372.94,364.96,356.09,0,,,,,,,,,,,0,,,,,,,,,,
109,367.61,370.17,371.71,372.92,372.49,374.99,372.52,373.44,372.95,364.91,356.07,0,,,,,,,,,,,0,,,,,,,,,,
110,367.56,370.14,371.7,372.92,372.49,375,372.51,373.46,372.93,364.87,356.06,0,,,,,,,,,,,0,,,,,,,,,,
111,367.51,370.11,371.7,372.91,372.48,374.99,372.51,373.46,372.91,364.89,356.07,0,,,,,,,,,,,0,,,,,,,,,,
112,367.48,370.09,371.69,372.91,372.47,374.99,372.51,373.47,372.92,364.86,356.09,0,,,,,,,,,,,0,,,,,,,,,,
113,367.44,370.07,371.69,372.91,372.46,374.97,372.49,373.47,372.91,364.87,356.14,0,,,,,,,,,,,0,,,,,,,,,,
114,367.41,370.04,371.67,372.91,372.45,374.98,372.48,373.49,372.93,364.94,356.21,0,,,,,,,,,,,0,,,,,,,,,,
115,367.37,370.01,371.66,372.9,372.44,374.98,372.48,373.5,372.97,365.07,356.3,0,,,,,,,,,,,0,,,,,,,,,,
116,367.33,369.99,371.65,372.9,372.43,374.98,372.48,373.51,373.02,365.11,356.38,0,,,,,,,,,,,0,,,,,,,,,,
