Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC_9_5,TC10,Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9,Depth_10,Depth_11,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
133,370.74,372.06,373.76,374.79,374.29,376.84,374.33,375.25,374.41,381.7,359.96,0,,,,,,,,,,,0,,,,,,,,,,
134,370.67,372.04,373.72,374.76,374.27,376.79,374.28,375.19,374.45,381.58,359.99,0,,,,,,,,,,,0,,,,,,,,,,
135,370.61,372.02,373.7,374.74,374.25,376.77,374.24,375.17,374.45,381.8,360.02,0,,,,,,,,,,,0,,,,,,,,,,
136,370.56,372,373.68,374.72,374.23,376.74,374.19,375.16,374.41,381.85,360.02,0,,,,,,,,,,,0,,,,,,,,,,
137,370.51,371.99,373.65,374.69,374.2,376.72,374.16,375.14,374.37,382.38,360.01,0,,,,,,,,,,,0,,,,,,,,,,
138,370.45,371.97,373.65,374.66,374.19,376.69,374.13,375.13,374.35,382.34,359.98,0,,,,,,,,,,,0,,,,,,,,,,
139,370.36,371.95,373.62,374.65,374.16,376.67,374.11,375.12,374.39,382.25,360.03,0,,,,,,,,,,,0,,,,,,,,,,
140,370.28,371.93,373.59,374.64,374.14,376.64,374.1,375.11,374.48,382.28,360.11,0,,,,,,,,,,,0,,,,,,,,,,
141,370.23,371.91,373.58,374.61,374.13,376.62,374.1,375.11,374.52,382.68,360.19,0,,,,,,,,,,,0,,,,,,,,,,
142,370.19,371.9,373.57,374.59,374.12,376.61,374.09,375.1,374.55,382.7,360.25,0,,,,,,,,,,,0,,,,,,,,,,
143,370.16,371.88,373.55,374.59,374.1,376.59,374.08,375.08,374.58,382.81,360.3,0,,,,,,,,,,,0,,,,,,,,,,
144,370.13,371.87,373.55,374.57,374.09,376.58,374.08,375.07,374.59,382.83,360.32,0,,,,,,,,,,,0,,,,,,,,,,
145,370.1,371.85,373.53,374.55,374.06,376.56,374.07,375.03,374.61,382.77,360.33,0,,,,,,,,,,,0,,,,,,,,,,
146,370.07,371.82,373.52,374.54,374.06,376.54,374.07,375.02,374.62,382.48,360.32,0,,,,,,,,,,,0,,,,,,,,,,
147,370.04,371.81,373.5,374.53,374.06,376.54,374.05,375,374.62,382.48,360.32,0,,,,,,,,,,,0,,,,,,,,,,
148,369.96,371.77,373.5,374.53,374.05,376.53,374.05,374.99,374.6,382.49,360.34,0,,,,,,,,,,,0,,,,,,,,,,
149,369.88,371.73,373.47,374.52,374.05,376.52,374.03,374.98,374.6,382.62,360.36,0,,,,,,,,,,,0,,,,,,,,,,
150,369.8,371.69,373.47,374.51,374.04,376.51,374.03,374.96,374.61,382.42,360.42,0,,,,,,,,,,,0,,,,,,,,,,
151,369.74,371.67,373.46,374.5,374.03,376.5,374.03,374.94,374.64,382.65,360.49,0,,,,,,,,,,,0,,,,,,,,,,
152,369.68,371.62,373.44,374.49,374.02,376.48,374.01,374.94,374.66,383.02,360.55,0,,,,,,,,,,,0,,,,,,,,,,
153,369.64,371.61,373.44,374.49,374.02,376.48,374.01,374.93,374.72,383.34,360.61,0,,,,,,,,,,,0,,,,,,,,,,
154,369.59,371.59,373.43,374.47,374.02,376.47,374.01,374.94,374.79,383.09,360.67,0,,,,,,,,,,,0,,,,,,,,,,
155,369.55,371.56,373.43,374.46,374.02,376.45,374,374.95,374.81,382.95,360.68,0,,,,,,,,,,,0,,,,,,,,,,
156,369.52,371.54,373.41,374.46,374.01,376.45,373.99,374.97,374.83,383.11,360.67,0,,,,,,,,,,,0,,,,,,,,,,
157,369.46,371.5,373.39,374.47,374.01,376.45,373.98,375,374.85,382.77,360.66,0,,,,,,,,,,,0,,,,,,,,,,
158,369.41,371.46,373.39,374.45,374.01,376.45,373.98,375.02,374.85,382.5,360.64,0,,,,,,,,,,,0,,,,,,,,,,
159,369.38,371.43,373.37,374.46,374.01,376.43,373.98,375.03,374.87,382.37,360.65,0,,,,,,,,,,,0,,,,,,,,,,
160,369.33,371.41,373.36,374.45,374.01,376.43,373.99,375.06,374.87,383.2,360.67,0,,,,,,,,,,,0,,,,,,,,,,
161,369.29,371.37,373.34,374.45,374,376.43,373.98,375.08,374.88,383.54,360.75,0,,,,,,,,,,,0,,,,,,,,,,
162,369.23,371.35,373.32,374.44,373.99,376.43,373.98,375.09,374.9,383.57,360.81,0,,,,,,,,,,,0,,,,,,,,,,
163,369.18,371.32,373.32,374.44,374,376.42,373.99,375.1,374.94,383.64,360.87,0,,,,,,,,,,,0,,,,,,,,,,
164,369.15,371.3,373.31,374.44,374.01,376.42,373.99,375.12,375,383.96,360.93,0,,,,,,,,,,,0,,,,,,,,,,
165,369.08,371.27,373.29,374.43,374,376.41,374,375.14,375.1,383.58,360.99,0,,,,,,,,,,,0,,,,,,,,,,
166,369.02,371.24,373.28,374.41,374,376.4,374.01,375.15,375.19,383.16,361.03,0,,,,,,,,,,,0,,,,,,,,,,
167,369,371.21,373.27,374.41,374,376.4,374.01,375.15,375.25,383.89,361.03,0,,,,,,,,,,,0,,,,,,,,,,
168,368.97,371.19,373.26,374.41,373.99,376.39,374.02,375.15,375.3,383.61,361.01,0,,,,,,,,,,,0,,,,,,,,,,
169,368.94,371.15,373.25,374.4,373.98,376.38,374.02,375.15,375.33,383.02,360.96,0,,,,,,,,,,,0,,,,,,,,,,
170,368.91,371.13,373.23,374.39,373.98,376.38,374.01,375.14,375.34,382.63,360.9,0,,,,,,,,,,,0,,,,,,,,,,
171,368.89,371.09,373.22,374.38,373.96,376.38,374.01,375.15,375.32,382.43,360.85,0,,,,,,,,,,,0,,,,,,,,,,
172,368.85,371.06,373.2,374.38,373.95,376.37,374,375.15,375.28,382.89,360.84,0,,,,,,,,,,,0,,,,,,,,,,
173,368.82,371.03,373.19,374.36,373.95,376.36,374.01,375.19,375.25,382.86,360.86,0,,,,,,,,,,,0,,,,,,,,,,
174,368.78,371.01,373.19,374.35,373.94,376.35,374.01,375.21,375.25,383.12,360.92,0,,,,,,,,,,,0,,,,,,,,,,
175,368.73,370.97,373.17,374.35,373.93,376.35,374.01,375.24,375.23,384.25,361,0,,,,,,,,,,,0,,,,,,,,,,
176,368.67,370.93,373.14,374.34,373.92,376.35,374.01,375.27,375.21,383.73,361.08,0,,,,,,,,,,,0,,,,,,,,,,
177,368.64,370.91,373.14,374.34,373.92,376.35,374.01,375.3,375.2,383.74,361.13,0,,,,,,,,,,,0,,,,,,,,,,
178,368.61,370.88,373.12,374.32,373.91,376.34,374.01,375.32,375.21,383.93,361.17,0,,,,,,,,,,,0,,,,,,,,,,
179,368.56,370.86,373.11,374.33,373.9,376.34,374.02,375.34,375.23,384.2,361.18,0,,,,,,,,,,,0,,,,,,,,,,
180,368.52,370.84,373.1,374.32,373.89,376.34,374.02,375.34,375.27,383.92,361.17,0,,,,,,,,,,,0,,,,,,,,,,
