Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC_9_5,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
617,367.7,366.12,339.46,197.62,137.12,90.81,76.52,63.72,54.68,-4.41,55.05,379.15250463363,408.543956528737,408.543956528737,408.543956528737,408.543956528737,408.543956528737,408.543956528737,408.543956528737,408.543956528737,408.543956528737,463.485608689685,0.0375,25900,3,0.98
618,367.84,366.16,339.49,198.03,137.61,91.16,76.98,64.02,55.13,-5.44,55.75,379.286580330661,408.696163673195,408.696163673195,408.696163673195,408.696163673195,408.696163673195,408.696163673195,408.696163673195,408.696163673195,408.696163673195,463.637815834144,0.0375,25900,3,0.98
619,367.98,366.17,339.5,198.31,137.93,91.38,77.35,64.26,55.47,-5.32,56.22,379.420579502917,408.848291393097,408.848291393097,408.848291393097,408.848291393097,408.848291393097,408.848291393097,408.848291393097,408.848291393097,408.848291393097,463.789943554046,0.0375,25900,3,0.98
620,368.04,366.17,339.53,198.22,138.24,91.66,77.64,64.56,55.79,-5.38,56.69,379.554502157128,409.000339684855,409.000339684855,409.000339684855,409.000339684855,409.000339684855,409.000339684855,409.000339684855,409.000339684855,409.000339684855,463.941991845803,0.0375,25900,3,0.98
621,368.07,366.07,339.64,199.1,138.56,91.95,77.89,64.7,56.08,-2.83,57.17,379.688348300074,409.152308544941,409.152308544941,409.152308544941,409.152308544941,409.152308544941,409.152308544941,409.152308544941,409.152308544941,409.152308544941,464.09396070589,0.0375,25900,3,0.98
622,368.06,366.0,339.76,199.42,138.87,92.28,78.11,64.86,56.34,-4.37,57.66,379.822117938586,409.304197969888,409.304197969888,409.304197969888,409.304197969888,409.304197969888,409.304197969888,409.304197969888,409.304197969888,409.304197969888,464.245850130836,0.0375,25900,3,0.98
623,368.14,366.03,339.83,199.68,139.15,92.58,78.35,65.04,56.6,-5.8,58.13,379.955811079544,409.456007956286,409.456007956286,409.456007956286,409.456007956286,409.456007956286,409.456007956286,409.456007956286,409.456007956286,409.456007956286,464.397660117235,0.0375,25900,3,0.98
624,368.13,366.09,339.85,199.84,139.44,92.83,78.53,65.16,56.84,-4.2,58.6,380.089427729874,409.607738500788,409.607738500788,409.607738500788,409.607738500788,409.607738500788,409.607738500788,409.607738500788,409.607738500788,409.607738500788,464.549390661736,0.0375,25900,3,0.98
625,368.16,366.16,339.84,200.18,139.71,93.08,78.72,65.3,57.05,-5.27,59.06,380.222967896557,409.759389600104,409.759389600104,409.759389600104,409.759389600104,409.759389600104,409.759389600104,409.759389600104,409.759389600104,409.759389600104,464.701041761052,0.0375,25900,3,0.98
626,368.11,366.2,339.86,200.34,140.16,93.24,79.06,65.39,57.36,-5.93,59.75,380.356431586619,409.910961251005,409.910961251005,409.910961251005,409.910961251005,409.910961251005,409.910961251005,409.910961251005,409.910961251005,409.910961251005,464.852613411953,0.0375,25900,3,0.98
627,368.0,366.18,339.95,200.61,140.58,93.59,79.38,65.6,57.68,-5.39,60.43,380.489818807138,410.062453450321,410.062453450321,410.062453450321,410.062453450321,410.062453450321,410.062453450321,410.062453450321,410.062453450321,410.062453450321,465.004105611269,0.0375,25900,3,0.98
628,367.93,366.14,340.07,200.89,140.83,93.81,79.53,65.77,57.89,-4.48,60.87,380.623129565239,410.213866194942,410.213866194942,410.213866194942,410.213866194942,410.213866194942,410.213866194942,410.213866194942,410.213866194942,410.213866194942,465.15551835589,0.0375,25900,3,0.98
629,367.9,366.15,340.17,201.0,141.08,94.1,79.67,65.9,58.13,-5.37,61.31,380.756363868096,410.365199481817,410.365199481817,410.365199481817,410.365199481817,410.365199481817,410.365199481817,410.365199481817,410.365199481817,410.365199481817,465.306851642765,0.0375,25900,3,0.98
630,367.92,366.17,340.2,201.19,141.31,94.37,79.84,66.09,58.38,-4.01,61.76,380.889521722935,410.516453307955,410.516453307955,410.516453307955,410.516453307955,410.516453307955,410.516453307955,410.516453307955,410.516453307955,410.516453307955,465.458105468904,0.0375,25900,3,0.98
631,367.97,366.15,340.18,201.25,141.53,94.57,80.0,66.25,58.62,-4.47,62.2,381.022603137029,410.667627670425,410.667627670425,410.667627670425,410.667627670425,410.667627670425,410.667627670425,410.667627670425,410.667627670425,410.667627670425,465.609279831373,0.0375,25900,3,0.98
632,367.97,366.13,340.21,201.33,141.73,94.8,80.15,66.47,58.89,-4.66,62.65,381.1556081177,410.818722566354,410.818722566354,410.818722566354,410.818722566354,410.818722566354,410.818722566354,410.818722566354,410.818722566354,410.818722566354,465.760374727303,0.0375,25900,3,0.98
633,367.94,366.11,340.3,201.44,141.92,94.91,80.27,66.65,59.15,-4.46,63.09,381.28853667232,410.969737992931,410.969737992931,410.969737992931,410.969737992931,410.969737992931,410.969737992931,410.969737992931,410.969737992931,410.969737992931,465.911390153879,0.0375,25900,3,0.98
634,367.87,366.03,340.41,201.54,142.14,95.24,80.36,66.89,59.42,-4.72,63.54,381.421388808309,411.120673947401,411.120673947401,411.120673947401,411.120673947401,411.120673947401,411.120673947401,411.120673947401,411.120673947401,411.120673947401,466.062326108349,0.0375,25900,3,0.98
635,367.72,365.88,340.53,201.59,142.45,95.52,80.55,67.08,59.81,-4.02,64.21,381.554164533137,411.271530427071,411.271530427071,411.271530427071,411.271530427071,411.271530427071,411.271530427071,411.271530427071,411.271530427071,411.271530427071,466.213182588019,0.0375,25900,3,0.98
636,367.67,365.84,340.66,201.63,142.75,95.8,80.85,67.33,60.22,-3.93,64.87,381.686863854322,411.422307429306,411.422307429306,411.422307429306,411.422307429306,411.422307429306,411.422307429306,411.422307429306,411.422307429306,411.422307429306,466.363959590255,0.0375,25900,3,0.98
637,367.71,365.86,340.76,201.76,142.92,96.0,81.05,67.57,60.53,-3.2,65.32,381.819486779432,411.573004951532,411.573004951532,411.573004951532,411.573004951532,411.573004951532,411.573004951532,411.573004951532,411.573004951532,411.573004951532,466.514657112481,0.0375,25900,3,0.98
638,367.73,365.83,340.91,201.86,143.12,96.23,81.23,67.7,60.82,-3.88,65.77,381.952033316083,411.723622991233,411.723622991233,411.723622991233,411.723622991233,411.723622991233,411.723622991233,411.723622991233,411.723622991233,411.723622991233,466.665275152181,0.0375,25900,3,0.98
639,367.72,365.77,341.05,202.06,143.32,96.5,81.38,67.86,61.11,-4.11,66.22,382.084503471939,411.874161545952,411.874161545952,411.874161545952,411.874161545952,411.874161545952,411.874161545952,411.874161545952,411.874161545952,411.874161545952,466.815813706901,0.0375,25900,3,0.98
640,367.69,365.74,341.09,202.08,143.51,96.65,81.5,67.9,61.36,-4.08,66.68,382.216897254715,412.024620613293,412.024620613293,412.024620613293,412.024620613293,412.024620613293,412.024620613293,412.024620613293,412.024620613293,412.024620613293,466.966272774241,0.0375,25900,3,0.98
641,367.73,365.81,341.03,202.34,143.71,96.85,81.63,68.02,61.6,-3.46,67.12,382.349214672173,412.175000190917,412.175000190917,412.175000190917,412.175000190917,412.175000190917,412.175000190917,412.175000190917,412.175000190917,412.175000190917,467.116652351865,0.0375,25900,3,0.98
642,367.84,365.94,340.99,202.54,143.91,97.16,81.76,68.13,61.87,-2.27,67.57,382.481455732123,412.325300276546,412.325300276546,412.325300276546,412.325300276546,412.325300276546,412.325300276546,412.325300276546,412.325300276546,412.325300276546,467.266952437495,0.0375,25900,3,0.98
643,367.87,366.11,340.95,202.7,144.11,97.27,81.91,68.36,62.14,-4.23,68.02,382.613620442428,412.475520867961,412.475520867961,412.475520867961,412.475520867961,412.475520867961,412.475520867961,412.475520867961,412.475520867961,412.475520867961,467.41717302891,0.0375,25900,3,0.98
644,367.89,366.3,340.91,202.83,144.37,97.6,82.15,68.57,62.54,-4.61,68.68,382.745708810993,412.625661963002,412.625661963002,412.625661963002,412.625661963002,412.625661963002,412.625661963002,412.625661963002,412.625661963002,412.625661963002,467.567314123951,0.0375,25900,3,0.98
645,368.0,366.37,340.91,202.96,144.62,97.74,82.38,68.73,62.96,-4.22,69.34,382.877720845776,412.775723559567,412.775723559567,412.775723559567,412.775723559567,412.775723559567,412.775723559567,412.775723559567,412.775723559567,412.775723559567,467.717375720516,0.0375,25900,3,0.98
646,367.94,366.36,340.96,203.13,144.77,98.01,82.54,69.08,63.27,-2.49,69.78,383.009656554784,412.925705655615,412.925705655615,412.925705655615,412.925705655615,412.925705655615,412.925705655615,412.925705655615,412.925705655615,412.925705655615,467.867357816564,0.0375,25900,3,0.98
647,368.04,366.31,341.02,203.2,144.94,98.14,82.69,69.15,63.58,-2.87,70.23,383.14151594607,413.075608249163,413.075608249163,413.075608249163,413.075608249163,413.075608249163,413.075608249163,413.075608249163,413.075608249163,413.075608249163,468.017260410112,0.0375,25900,3,0.98
648,368.36,366.25,341.05,203.18,145.09,98.38,82.84,69.4,63.86,-6.97,70.66,383.273299027736,413.225431338287,413.225431338287,413.225431338287,413.225431338287,413.225431338287,413.225431338287,413.225431338287,413.225431338287,413.225431338287,468.167083499236,0.0375,25900,3,0.98
649,368.47,366.23,341.08,203.31,145.27,98.64,83.04,69.64,64.14,-8.84,71.1,383.405005807934,413.375174921124,413.375174921124,413.375174921124,413.375174921124,413.375174921124,413.375174921124,413.375174921124,413.375174921124,413.375174921124,468.316827082072,0.0375,25900,3,0.98
650,368.43,366.23,341.13,203.45,145.46,98.8,83.18,69.84,64.43,-9.21,71.54,383.536636294863,413.524838995866,413.524838995866,413.524838995866,413.524838995866,413.524838995866,413.524838995866,413.524838995866,413.524838995866,413.524838995866,468.466491156815,0.0375,25900,3,0.98
651,368.38,366.23,341.11,203.6,145.64,99.03,83.32,69.99,64.71,-10.85,71.98,383.66819049677,413.674423560769,413.674423560769,413.674423560769,413.674423560769,413.674423560769,413.674423560769,413.674423560769,413.674423560769,413.674423560769,468.616075721717,0.0375,25900,3,0.98
652,368.39,366.22,341.05,203.76,145.83,99.25,83.5,70.19,65.01,-8.09,72.41,383.799668421951,413.823928614143,413.823928614143,413.823928614143,413.823928614143,413.823928614143,413.823928614143,413.823928614143,413.823928614143,413.823928614143,468.765580775092,0.0375,25900,3,0.98
653,368.35,366.28,341.05,203.99,146.13,99.46,83.79,70.37,65.44,-9.09,73.08,383.931070078751,413.973354154361,413.973354154361,413.973354154361,413.973354154361,413.973354154361,413.973354154361,413.973354154361,413.973354154361,413.973354154361,468.915006315309,0.0375,25900,3,0.98
