Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC_9_5,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
253,374.24,375.13,349.2,208.75,151.3,109.48,92.03,80.41,74.47,-0.68,79.61,351.54006704661,377.354016604842,377.354016604842,377.354016604842,377.354016604842,377.354016604842,377.354016604842,377.354016604842,377.354016604842,377.354016604842,406.948438880889
254,374.33,375.21,349.28,208.75,151.37,109.49,92.05,80.46,74.55,-2.06,79.68,351.689129525342,377.521566975613,377.521566975613,377.521566975613,377.521566975613,377.521566975613,377.521566975613,377.521566975613,377.521566975613,377.521566975613,407.11598925166
255,374.41,375.23,349.39,208.79,151.44,109.52,92.11,80.52,74.67,-1.39,79.74,351.838115153092,377.689039782137,377.689039782137,377.689039782137,377.689039782137,377.689039782137,377.689039782137,377.689039782137,377.689039782137,377.689039782137,407.283462058184
256,374.46,375.23,349.48,208.84,151.48,109.66,92.17,80.7,74.78,0.95,79.78,351.987023926357,377.856435008934,377.856435008934,377.856435008934,377.856435008934,377.856435008934,377.856435008934,377.856435008934,377.856435008934,377.856435008934,407.450857284981
257,374.51,375.25,349.56,208.81,151.5,109.71,92.18,80.82,74.92,-0.36,79.84,352.135855841688,378.023752640584,378.023752640584,378.023752640584,378.023752640584,378.023752640584,378.023752640584,378.023752640584,378.023752640584,378.023752640584,407.618174916631
258,374.52,375.29,349.62,208.66,151.53,109.74,92.22,80.87,75.05,-1.7,79.91,352.284610895691,378.19099266173,378.19099266173,378.19099266173,378.19099266173,378.19099266173,378.19099266173,378.19099266173,378.19099266173,378.19099266173,407.785414937777
259,374.56,375.33,349.69,208.76,151.58,109.78,92.35,81.05,75.2,-0.61,79.99,352.433289085026,378.358155057075,378.358155057075,378.358155057075,378.358155057075,378.358155057075,378.358155057075,378.358155057075,378.358155057075,378.358155057075,407.952577333122
260,374.6,375.37,349.73,208.85,151.62,109.8,92.5,81.17,75.35,-0.9,80.07,352.581890406409,378.525239811383,378.525239811383,378.525239811383,378.525239811383,378.525239811383,378.525239811383,378.525239811383,378.525239811383,378.525239811383,408.11966208743
261,374.64,375.43,349.77,208.89,151.66,109.87,92.52,81.11,75.42,-0.17,80.15,352.73041485661,378.69224690948,378.69224690948,378.69224690948,378.69224690948,378.69224690948,378.69224690948,378.69224690948,378.69224690948,378.69224690948,408.286669185527
262,374.69,375.49,349.82,208.95,151.71,109.94,92.51,81.02,75.47,0.03,80.22,352.878862432453,378.859176336254,378.859176336254,378.859176336254,378.859176336254,378.859176336254,378.859176336254,378.859176336254,378.859176336254,378.859176336254,408.453598612301
263,374.73,375.55,349.87,208.93,151.75,109.96,92.49,81.02,75.5,0.63,80.3,353.027233130818,379.026028076653,379.026028076653,379.026028076653,379.026028076653,379.026028076653,379.026028076653,379.026028076653,379.026028076653,379.026028076653,408.6204503527
264,374.81,375.63,349.95,209.0,151.82,110.02,92.54,81.0,75.56,0.56,80.39,353.175526948639,379.192802115687,379.192802115687,379.192802115687,379.192802115687,379.192802115687,379.192802115687,379.192802115687,379.192802115687,379.192802115687,408.787224391734
