Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
300,352.22,353.32,358.17,361.17,362.43,365.89,364.98,366.69,367.68,353.51,335.094303659811,358.922428847045,358.92264467215,356.681547294742,345.006224706816,333.411968878389,325.140756992315,322.333161806985,322.333161806985,322.333161806985,327.964701912054
301,352.21,353.32,358.16,361.17,362.44,365.9,364.98,366.71,367.71,353.55,335.148681567898,358.983205121122,358.983427038486,356.742919475122,345.059515687814,333.453140953659,325.172961689345,322.362792468908,322.362792468908,322.362792468908,327.994332573977
302,352.19,353.3,358.17,361.17,362.45,365.91,365.0,366.72,367.74,353.6,335.203039900232,359.043960731585,359.044188820062,356.804275830847,345.112802583792,333.494315440742,325.205171474886,322.392429053495,322.392429053495,322.392429053495,328.023969158564
303,352.19,353.29,358.17,361.18,362.47,365.93,365.02,366.74,367.76,353.63,335.257378664678,359.104695685717,359.104930023739,356.865616362348,345.16608538682,333.535492335866,325.237386347458,322.422071558657,322.422071558657,322.422071558657,328.053611663725
304,352.18,353.28,358.18,361.2,362.48,365.95,365.03,366.76,367.77,353.65,335.31169786903,359.165409990897,359.165650656666,356.926941070276,345.219364089024,333.576671635262,325.269606305581,322.451719982306,322.451719982306,322.451719982306,328.083260087375
305,352.16,353.27,358.17,361.2,362.49,365.97,365.04,366.78,367.77,353.66,335.365997521095,359.226103654462,359.226350725894,356.988249955206,345.272638682519,333.617853335149,325.30183134777,322.481374322358,322.481374322358,322.481374322358,328.112914427427
306,352.14,353.26,358.17,361.21,362.49,365.98,365.06,366.79,367.77,353.67,335.420277628659,359.286776683781,359.287030238564,357.049543017792,345.325909159448,333.659037431748,325.334061472535,322.51103457673,322.51103457673,322.51103457673,328.142574681798
307,352.14,353.25,358.16,361.21,362.51,366.0,365.07,366.81,367.76,353.67,335.474538199515,359.347429086207,359.347689201769,357.110820258663,345.379175511962,333.700223921273,325.366296678388,322.540700743341,322.540700743341,322.540700743341,328.172240848409
308,352.11,353.24,358.16,361.23,362.52,366.02,365.09,366.82,367.78,353.65,335.528779241451,359.408060869095,359.408327622618,357.172081678463,345.432437732224,333.741412799932,325.398536963833,322.57037282011,322.57037282011,322.57037282011,328.201912925179
309,352.1,353.22,358.15,361.24,362.53,366.04,365.09,366.86,367.84,353.64,335.583000762261,359.468672039785,359.468945508178,357.233327277818,345.485695812404,333.782604063931,325.430782327373,322.600050804964,322.600050804964,322.600050804964,328.231590910032
310,352.09,353.22,358.16,361.24,362.55,366.05,365.12,366.88,367.88,353.64,335.637202769719,359.529262605641,359.529542865586,357.294557057413,345.538949744697,333.823797709471,325.463032767508,322.629734695823,322.629734695823,322.629734695823,328.261274800891
311,352.07,353.22,358.16,361.25,362.56,366.07,365.12,366.92,367.92,353.65,335.691385271607,359.589832573994,359.590119701906,357.355771017878,345.592199521291,333.864993732747,325.495288282738,322.659424490621,322.659424490621,322.659424490621,328.290964595689
312,352.05,353.2,358.15,361.26,362.57,366.08,365.14,366.93,367.96,353.67,335.745548275681,359.650381952228,359.650676024337,357.416969159964,345.645445134416,333.906192129953,325.527548871553,322.689120187281,322.689120187281,322.689120187281,328.32066029235
313,352.04,353.2,358.14,361.26,362.57,366.09,365.14,366.95,368.0,353.7,335.799691789801,359.710910747578,359.711211839642,357.478151484113,345.698686576255,333.947392897272,325.559814532445,322.718821783736,322.718821783736,322.718821783736,328.350361888805
314,352.03,353.19,358.14,361.27,362.59,366.12,365.15,366.98,368.02,353.74,335.853815821733,359.771418967391,359.771727154929,357.53931799102,345.751923839045,333.988596030887,325.5920852639,322.748529277919,322.748529277919,322.748529277919,328.380069382987
315,352.02,353.19,358.14,361.28,362.6,366.13,365.17,366.99,368.06,353.79,335.907920379027,359.831906619267,359.832221978111,357.600468681941,345.805156915125,334.029801526985,325.624361064405,322.778242667765,322.778242667765,322.778242667765,328.409782772833
316,352.02,353.18,358.15,361.28,362.6,366.14,365.19,367.0,368.1,353.82,335.962005469702,359.892373710242,359.892696315327,357.661603556917,345.858385796649,334.071009381732,325.65664193244,322.80796195121,322.80796195121,322.80796195121,328.439502056278
317,352.0,353.17,358.14,361.29,362.62,366.16,365.22,367.01,368.15,353.84,336.016071101435,359.952820247754,359.953150173985,357.722722616873,345.911610475922,334.112219591299,325.688927866484,322.837687126192,322.837687126192,322.837687126192,328.469227231261
