Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
113,358.38,359.0,360.4,361.88,361.86,364.45,362.94,364.51,362.06,336.95,335.637202769719,359.529262605641,359.529542865586,357.294557057413,345.538949744697,333.823797709471,325.463032767508,322.629734695823,322.629734695823,322.629734695823,328.261274800891
114,358.35,358.98,360.41,361.9,361.88,364.48,362.98,364.53,361.99,336.94,335.691385271607,359.589832573994,359.590119701906,357.355771017878,345.592199521291,333.864993732747,325.495288282738,322.659424490621,322.659424490621,322.659424490621,328.290964595689
115,358.33,358.96,360.42,361.92,361.9,364.51,363.01,364.56,361.9,336.9,335.745548275681,359.650381952228,359.650676024337,357.416969159964,345.645445134416,333.906192129953,325.527548871553,322.689120187281,322.689120187281,322.689120187281,328.32066029235
116,358.31,358.95,360.42,361.92,361.91,364.52,363.03,364.58,361.89,336.87,335.799691789801,359.710910747578,359.711211839642,357.478151484113,345.698686576255,333.947392897272,325.559814532445,322.718821783736,322.718821783736,322.718821783736,328.350361888805
117,358.27,358.94,360.43,361.94,361.93,364.55,363.05,364.6,361.91,336.84,335.853815821733,359.771418967391,359.771727154929,357.53931799102,345.751923839045,333.988596030887,325.5920852639,322.748529277919,322.748529277919,322.748529277919,328.380069382987
118,358.26,358.92,360.42,361.94,361.94,364.57,363.07,364.61,361.96,336.81,335.907920379027,359.831906619267,359.832221978111,357.600468681941,345.805156915125,334.029801526985,325.624361064405,322.778242667765,322.778242667765,322.778242667765,328.409782772833
119,358.24,358.9,360.42,361.95,361.95,364.6,363.1,364.64,362.0,336.81,335.962005469702,359.892373710242,359.892696315327,357.661603556917,345.858385796649,334.071009381732,325.65664193244,322.80796195121,322.80796195121,322.80796195121,328.439502056278
120,358.23,358.9,360.43,361.96,361.97,364.62,363.14,364.66,362.03,336.8,336.016071101435,359.952820247754,359.953150173985,357.722722616873,345.911610475922,334.112219591299,325.688927866484,322.837687126192,322.837687126192,322.837687126192,328.469227231261
121,358.21,358.89,360.43,361.97,361.98,364.64,363.14,364.68,362.03,336.8,336.070117281996,360.013246239122,360.013583561129,357.783825862488,345.964830945223,334.153432151853,325.721218865013,322.867418190654,322.867418190654,322.867418190654,328.498958295722
122,358.19,358.86,360.43,361.97,361.99,364.66,363.16,364.69,362.01,336.81,336.124144019137,360.073651691684,360.073996483866,357.844913294495,346.018047664708,334.194647059555,325.753514926497,322.897155142536,322.897155142536,322.897155142536,328.528695247604
123,358.16,358.83,360.43,361.97,362.0,364.69,363.18,364.72,361.97,336.83,336.178151320612,360.13403661277,360.134388949277,357.905984913615,346.071261408008,334.235864310563,325.785816049408,322.926897979783,322.926897979783,322.926897979783,328.558438084851
124,358.14,358.84,360.44,361.98,362.02,364.71,363.2,364.73,361.93,336.87,336.232139194183,360.194401009694,360.194760964401,357.967040720551,346.124470907753,334.277083901028,325.818122232211,322.95664670034,322.95664670034,322.95664670034,328.588186805409
125,358.13,358.82,360.45,361.99,362.05,364.73,363.22,364.75,361.94,336.92,336.286107647598,360.254744889784,360.255112536326,358.028080716044,346.177676156239,334.3183058271,325.850433473369,322.986401302156,322.986401302156,322.986401302156,328.617941407225
126,358.1,358.8,360.44,362.0,362.05,364.76,363.24,364.78,361.97,336.97,336.340056688607,360.315068260354,360.315443672106,358.089104900819,346.230877145771,334.359530084923,325.882749771343,323.01616178318,323.01616178318,323.01616178318,328.647701888249
127,358.08,358.79,360.44,362.0,362.07,364.77,363.25,364.79,362.0,337.02,336.393986324947,360.375371128737,360.375754378843,358.150113275646,346.284073868671,334.400756670638,325.91507112459,323.045928141364,323.045928141364,323.045928141364,328.677468246432
128,358.07,358.79,360.45,362.02,362.09,364.78,363.26,364.81,362.02,337.08,336.447896564372,360.435653502233,360.436044663556,358.211105841242,346.337266317262,334.44198558038,325.947397531563,323.07570037466,323.07570037466,323.07570037466,328.707240479729
129,358.05,358.77,360.45,362.03,362.1,364.8,363.27,364.83,362.01,337.13,336.501787414617,360.495915388163,360.496314533328,358.272082598376,346.390454483888,334.483216810282,325.979728990715,323.105478481024,323.105478481024,323.105478481024,328.737018586093
130,358.04,358.77,360.45,362.04,362.12,364.82,363.27,364.82,361.96,337.18,336.555658883418,360.556156793845,360.556563995232,358.333043547823,346.443638360908,334.524450356473,326.012065500492,323.135262458413,323.135262458413,323.135262458413,328.766802563481
131,358.02,358.76,360.45,362.05,362.13,364.85,363.28,364.81,361.93,337.23,336.609510978509,360.616377726576,360.616793056303,358.393988690323,346.496817940674,334.565686215073,326.04440705934,323.165052304782,323.165052304782,323.165052304782,328.796592409851
132,358.0,358.74,360.45,362.05,362.15,364.85,363.29,364.83,361.93,337.25,336.663343707635,360.67657819366,360.677001723569,358.454918026644,346.54999321557,334.606924382204,326.076753665701,323.194848018095,323.194848018095,323.194848018095,328.826388123163
133,357.97,358.73,360.46,362.07,362.17,364.87,363.33,364.85,361.97,337.27,336.717157078502,360.736758202428,360.737190004169,358.515831557619,346.603164177991,334.648164853984,326.109105318014,323.224649596312,323.224649596312,323.224649596312,328.856189701381
134,357.96,358.72,360.44,362.08,362.19,364.88,363.36,364.87,362.01,337.27,336.770951098855,360.796917760161,360.797357905084,358.576729283988,346.656330820328,334.689407626521,326.141462014715,323.254457037396,323.254457037396,323.254457037396,328.885997142465
135,357.95,358.71,360.46,362.09,362.21,364.91,363.4,364.91,362.1,337.3,336.824725776411,360.857056874168,360.857505433386,358.637611206557,346.709493134998,334.730652695925,326.173823754238,323.284270339314,323.284270339314,323.284270339314,328.915810444382
136,357.94,358.71,360.48,362.1,362.24,364.93,363.44,364.95,362.22,337.35,336.878481118854,360.917175551793,360.917632596267,358.698477326226,346.76265111444,334.771900058301,326.206190535011,323.31408950003,323.31408950003,323.31408950003,328.945629605098
137,357.92,358.69,360.48,362.11,362.25,364.94,363.46,364.97,362.31,337.38,336.932217134025,360.977273800188,360.97773940031,358.759327643477,346.815804751037,334.813149709743,326.238562355462,323.343914517514,323.343914517514,323.343914517514,328.975454622583
138,357.9,358.67,360.47,362.12,362.25,364.97,363.48,364.99,362.4,337.46,336.985933829512,361.037351626798,361.037825853035,358.820162159454,346.868954037291,334.854401646352,326.270939214014,323.373745389736,323.373745389736,323.373745389736,329.005285494804
139,357.88,358.66,360.47,362.13,362.27,364.98,363.5,365.03,362.48,337.51,337.039631213071,361.097409038867,361.097891961329,358.880980874866,346.922098965644,334.895655864219,326.30332110909,323.403582114666,323.403582114666,323.403582114666,329.035122219735
140,357.86,358.64,360.47,362.14,362.29,365.0,363.53,365.06,362.53,337.58,337.093309292416,361.15744604368,361.157937732212,358.941783790524,346.975239528564,334.936912359431,326.335708039106,323.433424690279,323.433424690279,323.433424690279,329.064964795348
141,357.84,358.62,360.48,362.14,362.3,365.01,363.57,365.07,362.57,337.66,337.146968075243,361.217462648541,361.217963172768,359.002570907289,347.028375718539,334.978171128073,326.368100002478,323.46327311455,323.46327311455,323.46327311455,329.094813219618
142,357.81,358.61,360.48,362.16,362.33,365.03,363.6,365.11,362.61,337.72,337.200607569278,361.277458860711,361.277968289956,359.063342225942,347.081507528053,335.019432166224,326.400496997616,323.493127385453,323.493127385453,323.493127385453,329.124667490521
143,357.79,358.59,360.49,362.17,362.34,365.05,363.64,365.13,362.64,337.74,337.254227782203,361.337434687498,361.337953090878,359.124089828966,347.134634949622,335.060695469961,326.432899022932,323.522987500968,323.522987500968,323.522987500968,329.154527606036
144,357.77,358.59,360.49,362.18,362.35,365.07,363.67,365.17,362.65,337.76,337.307828721726,361.397390136174,361.397917582537,359.184795206573,347.187757975758,335.101961035357,326.46530607683,323.552853459073,323.552853459073,323.552853459073,329.184393564141
145,357.76,358.57,360.48,362.19,362.37,365.08,363.69,365.19,362.67,337.79,337.36141039555,361.457325214015,361.457861771947,359.245484711431,347.240876598989,335.143228858481,326.497718157713,323.582725257749,323.582725257749,323.582725257749,329.214265362818
146,357.75,358.56,360.49,362.2,362.38,365.11,363.73,365.23,362.7,337.81,337.414972811358,361.51723992831,361.517785666168,359.306158344497,347.293990811859,335.184498935397,326.530135263981,323.61260289498,323.61260289498,323.61260289498,329.244143000049
147,357.72,358.54,360.48,362.2,362.39,365.13,363.73,365.25,362.74,337.83,337.468515976848,361.577134286328,361.577689272203,359.366816106694,347.347100606918,335.225771262166,326.562557394032,323.642486368748,323.642486368748,323.642486368748,329.274026473817
148,357.71,358.53,360.49,362.21,362.39,365.13,363.75,365.27,362.79,337.88,337.522039899703,361.637008295351,361.637572597101,359.427457998988,347.400205976732,335.267045834846,326.594984546259,323.67237567704,323.67237567704,323.67237567704,329.303915782108
149,357.69,358.53,360.49,362.23,362.41,365.16,363.77,365.3,362.84,337.94,337.575544587616,361.696861962643,361.697435647856,359.488084022309,347.453306913873,335.308322649491,326.627416719053,323.702270817841,323.702270817841,323.702270817841,329.33381092291
150,357.67,358.51,360.48,362.24,362.43,365.18,363.81,365.34,362.91,338.07,337.629030048264,361.756695295477,361.757278431503,359.548694177627,347.506403410928,335.34960170215,326.659853910804,323.732171789141,323.732171789141,323.732171789141,329.36371189421
