Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
93,362.73,361.26,361.56,361.84,361.45,363.42,360.96,362.33,360.66,338.56,317.684416212487,335.732484165735,335.732484165735,335.732484165735,335.732484165735,335.732484165735,335.732484165735,335.732484165735,335.732484165735,335.732484165735,371.890012950623
94,362.68,361.24,361.55,361.8,361.42,363.41,360.91,362.35,360.68,338.61,317.717945137804,335.769086644317,335.769086644317,335.769086644317,335.769086644317,335.769086644317,335.769086644317,335.769086644317,335.769086644317,335.769086644317,371.926615429206
95,362.63,361.19,361.57,361.77,361.39,363.39,360.89,362.35,360.69,338.66,317.751471247774,335.805686398357,335.805686398357,335.805686398357,335.805686398357,335.805686398357,335.805686398357,335.805686398357,335.805686398357,335.805686398357,371.963215183246
96,362.62,361.14,361.59,361.75,361.38,363.37,360.84,362.31,360.72,338.71,317.784994542244,335.84228342762,335.84228342762,335.84228342762,335.84228342762,335.84228342762,335.84228342762,335.84228342762,335.84228342762,335.84228342762,371.999812212509
97,362.66,361.03,361.59,361.72,361.34,363.36,360.83,362.26,360.77,338.78,317.818515021064,335.878877731871,335.878877731871,335.878877731871,335.878877731871,335.878877731871,335.878877731871,335.878877731871,335.878877731871,335.878877731871,372.036406516759
98,362.72,360.95,361.58,361.7,361.29,363.34,360.93,362.23,360.79,338.85,317.852032684078,335.915469310875,335.915469310875,335.915469310875,335.915469310875,335.915469310875,335.915469310875,335.915469310875,335.915469310875,335.915469310875,372.072998095763
99,362.76,360.92,361.56,361.68,361.28,363.32,360.94,362.22,360.78,338.92,317.885547531134,335.952058164397,335.952058164397,335.952058164397,335.952058164397,335.952058164397,335.952058164397,335.952058164397,335.952058164397,335.952058164397,372.109586949285
100,362.79,360.93,361.56,361.67,361.28,363.31,360.92,362.26,360.78,339.0,317.91905956208,335.988644292202,335.988644292202,335.988644292202,335.988644292202,335.988644292202,335.988644292202,335.988644292202,335.988644292202,335.988644292202,372.14617307709
101,362.81,360.93,361.55,361.67,361.29,363.3,360.9,362.27,360.77,339.08,317.952568776764,336.025227694056,336.025227694056,336.025227694056,336.025227694056,336.025227694056,336.025227694056,336.025227694056,336.025227694056,336.025227694056,372.182756478944
102,362.78,360.92,361.53,361.68,361.3,363.3,360.89,362.25,360.76,339.16,317.986075175032,336.061808369723,336.061808369723,336.061808369723,336.061808369723,336.061808369723,336.061808369723,336.061808369723,336.061808369723,336.061808369723,372.219337154612
