Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
389,368.09,366.91,367.18,367.77,360.53,270.81,198.3,342.052111374656,366.707354051046,366.707354051046,366.707354051046,366.707354051046,366.707354051046,366.707354051046,366.707354051046,366.707354051046,366.707354051046,416.19176057749,0.084,25900,3,0.98
390,368.08,366.81,367.22,367.84,360.53,270.72,198.65,342.120810978291,366.784316342842,366.784316342842,366.784316342842,366.784316342842,366.784316342842,366.784316342842,366.784316342842,366.784316342842,366.784316342842,416.268722869287,0.084,25900,3,0.98
391,368.11,366.73,367.28,367.87,360.51,270.64,198.96,342.189495331988,366.861263395773,366.861263395773,366.861263395773,366.861263395773,366.861263395773,366.861263395773,366.861263395773,366.861263395773,366.861263395773,416.345669922217,0.084,25900,3,0.98
392,368.13,366.72,367.35,367.86,360.5,270.5,199.26,342.258164435123,366.938195208116,366.938195208116,366.938195208116,366.938195208116,366.938195208116,366.938195208116,366.938195208116,366.938195208116,366.938195208116,416.42260173456,0.084,25900,3,0.98
393,368.16,366.76,367.39,367.81,360.5,270.32,199.44,342.326818287076,367.015111778154,367.015111778154,367.015111778154,367.015111778154,367.015111778154,367.015111778154,367.015111778154,367.015111778154,367.015111778154,416.499518304598,0.084,25900,3,0.98
394,368.17,366.82,367.43,367.77,360.52,270.16,199.54,342.395456887229,367.09201310417,367.09201310417,367.09201310417,367.09201310417,367.09201310417,367.09201310417,367.09201310417,367.09201310417,367.09201310417,416.576419630614,0.084,25900,3,0.98
395,368.2,366.84,367.49,367.73,360.51,270.03,199.66,342.464080234964,367.16889918445,367.16889918445,367.16889918445,367.16889918445,367.16889918445,367.16889918445,367.16889918445,367.16889918445,367.16889918445,416.653305710894,0.084,25900,3,0.98
396,368.22,366.78,367.51,367.73,360.51,269.98,199.77,342.532688329668,367.245770017283,367.245770017283,367.245770017283,367.245770017283,367.245770017283,367.245770017283,367.245770017283,367.245770017283,367.245770017283,416.730176543727,0.084,25900,3,0.98
397,368.35,366.74,367.53,367.75,360.53,270.04,199.68,342.601281170728,367.32262560096,367.32262560096,367.32262560096,367.32262560096,367.32262560096,367.32262560096,367.32262560096,367.32262560096,367.32262560096,416.807032127404,0.084,25900,3,0.98
398,368.44,366.7,367.55,367.77,360.58,270.1,199.48,342.669858757535,367.399465933774,367.399465933774,367.399465933774,367.399465933774,367.399465933774,367.399465933774,367.399465933774,367.399465933774,367.399465933774,416.883872460218,0.084,25900,3,0.98
399,368.5,366.61,367.58,367.83,360.61,270.18,199.51,342.738421089481,367.476291014022,367.476291014022,367.476291014022,367.476291014022,367.476291014022,367.476291014022,367.476291014022,367.476291014022,367.476291014022,416.960697540466,0.084,25900,3,0.98
400,368.55,366.58,367.6,367.9,360.64,270.24,199.35,342.806968165962,367.553100840001,367.553100840001,367.553100840001,367.553100840001,367.553100840001,367.553100840001,367.553100840001,367.553100840001,367.553100840001,417.037507366445,0.084,25900,3,0.98
401,368.57,366.58,367.61,368.0,360.64,270.35,199.16,342.875499986372,367.629895410011,367.629895410011,367.629895410011,367.629895410011,367.629895410011,367.629895410011,367.629895410011,367.629895410011,367.629895410011,417.114301936456,0.084,25900,3,0.98
402,368.59,366.53,367.62,368.1,360.67,270.49,199.12,342.944016550112,367.706674722357,367.706674722357,367.706674722357,367.706674722357,367.706674722357,367.706674722357,367.706674722357,367.706674722357,367.706674722357,417.191081248802,0.084,25900,3,0.98
403,368.57,366.53,367.64,368.17,360.68,270.65,199.13,343.012517856583,367.783438775344,367.783438775344,367.783438775344,367.783438775344,367.783438775344,367.783438775344,367.783438775344,367.783438775344,367.783438775344,417.267845301788,0.084,25900,3,0.98
404,368.49,366.57,367.64,368.23,360.68,270.84,199.2,343.081003905188,367.860187567278,367.860187567278,367.860187567278,367.860187567278,367.860187567278,367.860187567278,367.860187567278,367.860187567278,367.860187567278,417.344594093723,0.084,25900,3,0.98
405,368.43,366.69,367.65,368.27,360.71,270.98,199.31,343.149474695333,367.936921096472,367.936921096472,367.936921096472,367.936921096472,367.936921096472,367.936921096472,367.936921096472,367.936921096472,367.936921096472,417.421327622916,0.084,25900,3,0.98
406,368.38,366.79,367.6,368.3,360.77,271.11,199.58,343.217930226426,368.013639361236,368.013639361236,368.013639361236,368.013639361236,368.013639361236,368.013639361236,368.013639361236,368.013639361236,368.013639361236,417.49804588768,0.084,25900,3,0.98
407,368.39,366.81,367.56,368.3,360.82,271.21,199.55,343.286370497876,368.090342359887,368.090342359887,368.090342359887,368.090342359887,368.090342359887,368.090342359887,368.090342359887,368.090342359887,368.090342359887,417.574748886331,0.084,25900,3,0.98
408,368.44,366.84,367.62,368.29,360.86,271.37,199.7,343.354795509096,368.167030090741,368.167030090741,368.167030090741,368.167030090741,368.167030090741,368.167030090741,368.167030090741,368.167030090741,368.167030090741,417.651436617185,0.084,25900,3,0.98
409,368.51,366.89,367.67,368.29,360.88,271.46,199.96,343.423205259501,368.243702552119,368.243702552119,368.243702552119,368.243702552119,368.243702552119,368.243702552119,368.243702552119,368.243702552119,368.243702552119,417.728109078563,0.084,25900,3,0.98
410,368.59,366.92,367.71,368.29,360.89,271.48,200.36,343.491599748506,368.320359742342,368.320359742342,368.320359742342,368.320359742342,368.320359742342,368.320359742342,368.320359742342,368.320359742342,368.320359742342,417.804766268786,0.084,25900,3,0.98
411,368.66,366.9,367.76,368.31,360.91,271.46,200.61,343.559978975531,368.397001659736,368.397001659736,368.397001659736,368.397001659736,368.397001659736,368.397001659736,368.397001659736,368.397001659736,368.397001659736,417.88140818618,0.084,25900,3,0.98
412,368.69,366.84,367.77,368.33,360.94,271.43,200.51,343.628342939997,368.473628302627,368.473628302627,368.473628302627,368.473628302627,368.473628302627,368.473628302627,368.473628302627,368.473628302627,368.473628302627,417.958034829071,0.084,25900,3,0.98
