Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
66,364.02,361.91,362.12,363.31,356.98,265.37,193.48,340.674917793826,365.164910724757,365.164910724757,365.164910724757,365.164910724757,365.164910724757,365.164910724757,365.164910724757,365.164910724757,365.164910724757,414.649317251201,0.084,25900,3,0.98
67,364.02,361.89,362.17,363.32,357.02,265.39,193.75,340.743922262005,365.242177428779,365.242177428779,365.242177428779,365.242177428779,365.242177428779,365.242177428779,365.242177428779,365.242177428779,365.242177428779,414.726583955224,0.084,25900,3,0.98
68,364.07,361.9,362.24,363.37,357.05,265.44,193.92,340.812911493168,365.319428928859,365.319428928859,365.319428928859,365.319428928859,365.319428928859,365.319428928859,365.319428928859,365.319428928859,365.319428928859,414.803835455303,0.084,25900,3,0.98
69,364.11,361.92,362.31,363.39,357.07,265.51,194.08,340.881885486649,365.396665223226,365.396665223226,365.396665223226,365.396665223226,365.396665223226,365.396665223226,365.396665223226,365.396665223226,365.396665223226,414.88107174967,0.084,25900,3,0.98
70,364.06,362.03,362.39,363.39,357.08,265.55,194.25,340.950844241782,365.473886310114,365.473886310114,365.473886310114,365.473886310114,365.473886310114,365.473886310114,365.473886310114,365.473886310114,365.473886310114,414.958292836559,0.084,25900,3,0.98
71,363.93,362.14,362.49,363.36,357.08,265.58,194.53,341.019787757906,365.55109218776,365.55109218776,365.55109218776,365.55109218776,365.55109218776,365.55109218776,365.55109218776,365.55109218776,365.55109218776,415.035498714204,0.084,25900,3,0.98
72,363.91,362.17,362.55,363.28,357.07,265.65,194.73,341.088716034358,365.628282854401,365.628282854401,365.628282854401,365.628282854401,365.628282854401,365.628282854401,365.628282854401,365.628282854401,365.628282854401,415.112689380845,0.084,25900,3,0.98
73,363.94,362.24,362.6,363.2,357.07,265.69,194.94,341.157629070481,365.705458308279,365.705458308279,365.705458308279,365.705458308279,365.705458308279,365.705458308279,365.705458308279,365.705458308279,365.705458308279,415.189864834723,0.084,25900,3,0.98
74,363.99,362.31,362.64,363.16,357.03,265.75,195.01,341.226526865619,365.782618547635,365.782618547635,365.782618547635,365.782618547635,365.782618547635,365.782618547635,365.782618547635,365.782618547635,365.782618547635,415.267025074079,0.084,25900,3,0.98
75,364.04,362.4,362.67,363.11,356.98,265.88,194.96,341.295409419119,365.859763570717,365.859763570717,365.859763570717,365.859763570717,365.859763570717,365.859763570717,365.859763570717,365.859763570717,365.859763570717,415.344170097161,0.084,25900,3,0.98
76,364.1,362.46,362.68,363.04,356.9,266.15,195.12,341.364276730328,365.93689337577,365.93689337577,365.93689337577,365.93689337577,365.93689337577,365.93689337577,365.93689337577,365.93689337577,365.93689337577,415.421299902215,0.084,25900,3,0.98
77,364.14,362.47,362.7,362.98,356.79,266.35,195.28,341.433128798597,366.014007961047,366.014007961047,366.014007961047,366.014007961047,366.014007961047,366.014007961047,366.014007961047,366.014007961047,366.014007961047,415.498414487491,0.084,25900,3,0.98
78,364.13,362.41,362.67,362.94,356.65,266.47,195.69,341.501965623279,366.0911073248,366.0911073248,366.0911073248,366.0911073248,366.0911073248,366.0911073248,366.0911073248,366.0911073248,366.0911073248,415.575513851244,0.084,25900,3,0.98
79,364.1,362.38,362.63,362.93,356.56,266.58,196.17,341.570787203729,366.168191465282,366.168191465282,366.168191465282,366.168191465282,366.168191465282,366.168191465282,366.168191465282,366.168191465282,366.168191465282,415.652597991727,0.084,25900,3,0.98
80,364.07,362.37,362.61,362.94,356.53,266.7,196.46,341.639593539304,366.245260380753,366.245260380753,366.245260380753,366.245260380753,366.245260380753,366.245260380753,366.245260380753,366.245260380753,366.245260380753,415.729666907198,0.084,25900,3,0.98
81,364.02,362.34,362.64,362.95,356.52,266.84,196.72,341.708384629363,366.322314069472,366.322314069472,366.322314069472,366.322314069472,366.322314069472,366.322314069472,366.322314069472,366.322314069472,366.322314069472,415.806720595916,0.084,25900,3,0.98
82,363.99,362.26,362.68,362.98,356.51,266.96,196.9,341.777160473268,366.399352529701,366.399352529701,366.399352529701,366.399352529701,366.399352529701,366.399352529701,366.399352529701,366.399352529701,366.399352529701,415.883759056145,0.084,25900,3,0.98
83,363.95,362.19,362.7,362.98,356.54,267.07,197.01,341.845921070383,366.476375759705,366.476375759705,366.476375759705,366.476375759705,366.476375759705,366.476375759705,366.476375759705,366.476375759705,366.476375759705,415.960782286149,0.084,25900,3,0.98
84,363.91,362.13,362.7,363.02,356.59,267.22,196.95,341.914666420073,366.55338375775,366.55338375775,366.55338375775,366.55338375775,366.55338375775,366.55338375775,366.55338375775,366.55338375775,366.55338375775,416.037790284194,0.084,25900,3,0.98
85,363.91,362.08,362.64,363.09,356.67,267.34,196.72,341.983396521707,366.630376522106,366.630376522106,366.630376522106,366.630376522106,366.630376522106,366.630376522106,366.630376522106,366.630376522106,366.630376522106,416.11478304855,0.084,25900,3,0.98
