Time,TC1_tip,TC2,TC3,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
407,378.1,376.88,353.8,422.665949023567,458.341918152689,458.341918152689,458.341918152689,458.341918152689,458.341918152689,458.341918152689,458.341918152689,458.341918152689,458.341918152689,513.283570313638,0.0375,25900,3,0.98
408,378.11,376.85,353.81,422.773191702055,458.465662614814,458.465662614814,458.465662614814,458.465662614814,458.465662614814,458.465662614814,458.465662614814,458.465662614814,458.465662614814,513.407314775763,0.0375,25900,3,0.98
409,378.11,376.85,353.78,422.880363159439,458.589329979518,458.589329979518,458.589329979518,458.589329979518,458.589329979518,458.589329979518,458.589329979518,458.589329979518,458.589329979518,513.530982140466,0.0375,25900,3,0.98
410,378.13,376.9,353.74,422.987463417343,458.712920262403,458.712920262403,458.712920262403,458.712920262403,458.712920262403,458.712920262403,458.712920262403,458.712920262403,458.712920262403,513.654572423351,0.0375,25900,3,0.98
411,378.15,376.91,353.68,423.094492497418,458.836433479115,458.836433479115,458.836433479115,458.836433479115,458.836433479115,458.836433479115,458.836433479115,458.836433479115,458.836433479115,513.778085640064,0.0375,25900,3,0.98
412,378.12,376.86,353.61,423.201450421349,458.959869645348,458.959869645348,458.959869645348,458.959869645348,458.959869645348,458.959869645348,458.959869645348,458.959869645348,458.959869645348,513.901521806296,0.0375,25900,3,0.98
413,378.1,376.82,353.55,423.308337210852,459.083228776834,459.083228776834,459.083228776834,459.083228776834,459.083228776834,459.083228776834,459.083228776834,459.083228776834,459.083228776834,514.024880937783,0.0375,25900,3,0.98
414,378.17,376.91,353.67,423.415152887674,459.206510889355,459.206510889355,459.206510889355,459.206510889355,459.206510889355,459.206510889355,459.206510889355,459.206510889355,459.206510889355,514.148163050304,0.0375,25900,3,0.98
415,378.35,377.04,353.94,423.521897473595,459.329715998734,459.329715998734,459.329715998734,459.329715998734,459.329715998734,459.329715998734,459.329715998734,459.329715998734,459.329715998734,514.271368159683,0.0375,25900,3,0.98
416,378.44,377.02,354.0,423.628570990426,459.452844120839,459.452844120839,459.452844120839,459.452844120839,459.452844120839,459.452844120839,459.452844120839,459.452844120839,459.452844120839,514.394496281788,0.0375,25900,3,0.98
417,378.43,376.97,353.98,423.735173460009,459.575895271583,459.575895271583,459.575895271583,459.575895271583,459.575895271583,459.575895271583,459.575895271583,459.575895271583,459.575895271583,514.517547432532,0.0375,25900,3,0.98
418,378.46,376.95,353.94,423.841704904219,459.698869466922,459.698869466922,459.698869466922,459.698869466922,459.698869466922,459.698869466922,459.698869466922,459.698869466922,459.698869466922,514.64052162787,0.0375,25900,3,0.98
419,378.5,377.04,353.92,423.94816534496,459.821766722855,459.821766722855,459.821766722855,459.821766722855,459.821766722855,459.821766722855,459.821766722855,459.821766722855,459.821766722855,514.763418883803,0.0375,25900,3,0.98
420,378.54,377.07,353.92,424.05455480417,459.944587055428,459.944587055428,459.944587055428,459.944587055428,459.944587055428,459.944587055428,459.944587055428,459.944587055428,459.944587055428,514.886239216376,0.0375,25900,3,0.98
421,378.61,377.02,353.94,424.160873303816,460.067330480727,460.067330480727,460.067330480727,460.067330480727,460.067330480727,460.067330480727,460.067330480727,460.067330480727,460.067330480727,515.008982641676,0.0375,25900,3,0.98
422,378.71,376.95,353.93,424.267120865897,460.189997014886,460.189997014886,460.189997014886,460.189997014886,460.189997014886,460.189997014886,460.189997014886,460.189997014886,460.189997014886,515.131649175835,0.0375,25900,3,0.98
423,378.84,376.85,353.91,424.373297512444,460.31258667408,460.31258667408,460.31258667408,460.31258667408,460.31258667408,460.31258667408,460.31258667408,460.31258667408,460.31258667408,515.254238835029,0.0375,25900,3,0.98
424,379.01,376.91,354.03,424.479403265517,460.435099474528,460.435099474528,460.435099474528,460.435099474528,460.435099474528,460.435099474528,460.435099474528,460.435099474528,460.435099474528,515.376751635477,0.0375,25900,3,0.98
425,378.99,377.1,354.18,424.585438147211,460.557535432493,460.557535432493,460.557535432493,460.557535432493,460.557535432493,460.557535432493,460.557535432493,460.557535432493,460.557535432493,515.499187593442,0.0375,25900,3,0.98
426,378.94,377.25,354.27,424.691402179647,460.679894564282,460.679894564282,460.679894564282,460.679894564282,460.679894564282,460.679894564282,460.679894564282,460.679894564282,460.679894564282,515.621546725231,0.0375,25900,3,0.98
427,378.85,377.33,354.37,424.79729538498,460.802176886245,460.802176886245,460.802176886245,460.802176886245,460.802176886245,460.802176886245,460.802176886245,460.802176886245,460.802176886245,515.743829047193,0.0375,25900,3,0.98
428,378.75,377.38,354.47,424.903117785396,460.924382414776,460.924382414776,460.924382414776,460.924382414776,460.924382414776,460.924382414776,460.924382414776,460.924382414776,460.924382414776,515.866034575724,0.0375,25900,3,0.98
429,378.71,377.43,354.53,425.008869403111,461.046511166311,461.046511166311,461.046511166311,461.046511166311,461.046511166311,461.046511166311,461.046511166311,461.046511166311,461.046511166311,515.988163327259,0.0375,25900,3,0.98
430,378.72,377.38,354.55,425.114550260372,461.168563157331,461.168563157331,461.168563157331,461.168563157331,461.168563157331,461.168563157331,461.168563157331,461.168563157331,461.168563157331,516.11021531828,0.0375,25900,3,0.98
431,378.79,377.28,354.56,425.220160379456,461.29053840436,461.29053840436,461.29053840436,461.29053840436,461.29053840436,461.29053840436,461.29053840436,461.29053840436,461.29053840436,516.232190565309,0.0375,25900,3,0.98
432,378.93,377.29,354.59,425.325699782671,461.412436923965,461.412436923965,461.412436923965,461.412436923965,461.412436923965,461.412436923965,461.412436923965,461.412436923965,461.412436923965,516.354089084913,0.0375,25900,3,0.98
433,379.12,377.41,354.6,425.431168492357,461.534258732755,461.534258732755,461.534258732755,461.534258732755,461.534258732755,461.534258732755,461.534258732755,461.534258732755,461.534258732755,516.475910893704,0.0375,25900,3,0.98
434,379.22,377.46,354.51,425.536566530883,461.656003847385,461.656003847385,461.656003847385,461.656003847385,461.656003847385,461.656003847385,461.656003847385,461.656003847385,461.656003847385,516.597656008334,0.0375,25900,3,0.98
435,379.32,377.49,354.45,425.641893920649,461.77767228455,461.77767228455,461.77767228455,461.77767228455,461.77767228455,461.77767228455,461.77767228455,461.77767228455,461.77767228455,516.719324445499,0.0375,25900,3,0.98
436,379.44,377.53,354.43,425.747150684085,461.899264060991,461.899264060991,461.899264060991,461.899264060991,461.899264060991,461.899264060991,461.899264060991,461.899264060991,461.899264060991,516.840916221939,0.0375,25900,3,0.98
437,379.53,377.61,354.44,425.852336843652,462.020779193488,462.020779193488,462.020779193488,462.020779193488,462.020779193488,462.020779193488,462.020779193488,462.020779193488,462.020779193488,516.962431354436,0.0375,25900,3,0.98
438,379.61,377.71,354.49,425.957452421841,462.142217698868,462.142217698868,462.142217698868,462.142217698868,462.142217698868,462.142217698868,462.142217698868,462.142217698868,462.142217698868,517.083869859816,0.0375,25900,3,0.98
439,379.69,377.88,354.53,426.062497441174,462.263579593998,462.263579593998,462.263579593998,462.263579593998,462.263579593998,462.263579593998,462.263579593998,462.263579593998,462.263579593998,517.205231754946,0.0375,25900,3,0.98
440,379.78,378.01,354.6,426.167471924201,462.384864895789,462.384864895789,462.384864895789,462.384864895789,462.384864895789,462.384864895789,462.384864895789,462.384864895789,462.384864895789,517.326517056738,0.0375,25900,3,0.98
