time,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10
212,365.74,359.49,361.22,361.65,361.31,362.94,361.79,362.25,361.87,344.77
213,365.75,359.5,361.21,361.59,361.3,362.95,361.79,362.27,361.92,344.83
214,365.77,359.54,361.23,361.53,361.27,362.98,361.82,362.29,361.98,344.91
215,365.78,359.56,361.27,361.47,361.23,363.0,361.86,362.29,362.01,344.98
216,365.78,359.56,361.3,361.38,361.19,363.03,361.89,362.32,361.99,345.01
217,365.78,359.56,361.34,361.32,361.16,363.07,361.94,362.35,361.97,345.02
218,365.78,359.55,361.35,361.27,361.11,363.08,361.95,362.38,361.97,345.01
219,365.8,359.54,361.36,361.23,361.07,363.09,361.98,362.41,361.99,345.0
220,365.81,359.56,361.39,361.2,361.07,363.11,362.0,362.42,362.0,345.0
221,365.82,359.57,361.4,361.17,361.04,363.11,361.99,362.39,362.0,344.99
222,365.83,359.63,361.41,361.17,361.03,363.12,361.98,362.33,361.99,345.0
223,365.84,359.67,361.41,361.16,361.01,363.14,361.94,362.28,361.98,345.03
224,365.83,359.7,361.4,361.16,361.0,363.17,361.89,362.26,361.95,345.07
225,365.83,359.74,361.4,361.16,361.01,363.18,361.88,362.26,361.92,345.11
226,365.83,359.75,361.4,361.16,361.02,363.18,361.85,362.31,361.89,345.11
227,365.83,359.75,361.4,361.17,361.01,363.2,361.83,362.37,361.84,345.1
228,365.82,359.74,361.4,361.17,361.0,363.22,361.77,362.42,361.8,345.09
229,365.84,359.73,361.43,361.2,361.01,363.23,361.73,362.44,361.78,345.11
230,365.84,359.7,361.45,361.21,361.0,363.23,361.68,362.43,361.75,345.1
231,365.85,359.66,361.46,361.22,361.01,363.25,361.66,362.44,361.74,345.1
232,365.87,359.64,361.47,361.26,361.0,363.26,361.62,362.43,361.73,345.1
233,365.91,359.6,361.49,361.3,361.02,363.27,361.62,362.44,361.74,345.1
234,365.94,359.55,361.5,361.36,361.04,363.28,361.63,362.47,361.76,345.12
235,365.96,359.53,361.5,361.44,361.06,363.29,361.62,362.53,361.79,345.15
236,365.97,359.54,361.49,361.5,361.1,363.29,361.61,362.57,361.82,345.17
237,365.97,359.55,361.49,361.56,361.14,363.29,361.56,362.59,361.84,345.2
238,365.98,359.58,361.49,361.6,361.19,363.28,361.52,362.61,361.86,345.22
239,365.99,359.61,361.47,361.61,361.23,363.27,361.49,362.63,361.86,345.25
240,366.01,359.62,361.46,361.65,361.29,363.26,361.46,362.63,361.86,345.29
241,366.02,359.65,361.45,361.67,361.33,363.25,361.43,362.61,361.85,345.34
242,366.04,359.67,361.41,361.68,361.39,363.25,361.41,362.57,361.88,345.39
243,366.06,359.7,361.37,361.69,361.45,363.24,361.38,362.52,361.93,345.43
244,366.08,359.7,361.35,361.73,361.47,363.25,361.39,362.5,361.97,345.47
245,366.11,359.69,361.35,361.77,361.49,363.27,361.41,362.49,362.01,345.49
246,366.12,359.68,361.34,361.81,361.5,363.28,361.44,362.5,362.04,345.5
247,366.14,359.66,361.36,361.84,361.5,363.3,361.49,362.52,362.05,345.5
248,366.15,359.64,361.38,361.88,361.5,363.33,361.55,362.55,362.05,345.49
249,366.14,359.57,361.4,361.9,361.49,363.34,361.61,362.59,362.04,345.48
250,366.15,359.51,361.42,361.93,361.48,363.36,361.68,362.64,362.02,345.49
251,366.15,359.43,361.46,361.93,361.47,363.37,361.78,362.71,361.99,345.48
252,366.15,359.39,361.49,361.92,361.46,363.4,361.87,362.79,361.98,345.47
253,366.13,359.38,361.5,361.92,361.46,363.39,361.9,362.83,361.98,345.45
254,366.14,359.38,361.51,361.91,361.46,363.39,361.96,362.87,362.0,345.46
255,366.13,359.4,361.52,361.9,361.47,363.38,362.04,362.9,362.04,345.48
256,366.12,359.39,361.53,361.88,361.47,363.37,362.09,362.94,362.1,345.53
257,366.12,359.41,361.53,361.86,361.47,363.36,362.14,362.97,362.14,345.57
258,366.12,359.44,361.55,361.83,361.46,363.35,362.19,362.98,362.18,345.63
259,366.11,359.5,361.53,361.8,361.39,363.34,362.2,362.98,362.24,345.69
260,366.11,359.57,361.52,361.82,361.32,363.34,362.17,362.96,362.28,345.74
261,366.13,359.61,361.51,361.83,361.28,363.33,362.12,362.88,362.28,345.77
262,366.12,359.66,361.51,361.84,361.25,363.3,362.09,362.79,362.27,345.78
263,366.13,359.71,361.52,361.85,361.22,363.28,362.04,362.75,362.27,345.8
264,366.14,359.74,361.53,361.84,361.19,363.28,361.99,362.73,362.28,345.84
265,366.14,359.79,361.55,361.82,361.17,363.26,361.94,362.71,362.28,345.85
266,366.15,359.8,361.56,361.82,361.15,363.25,361.9,362.7,362.28,345.87
267,366.17,359.8,361.58,361.82,361.13,363.25,361.86,362.69,362.28,345.88
268,366.2,359.84,361.61,361.84,361.14,363.25,361.84,362.67,362.25,345.89
269,366.23,359.87,361.62,361.86,361.16,363.26,361.83,362.67,362.2,345.89
270,366.26,359.86,361.61,361.88,361.17,363.26,361.85,362.69,362.16,345.89
271,366.28,359.87,361.64,361.9,361.21,363.27,361.87,362.72,362.12,345.9
272,366.31,359.89,361.63,361.9,361.24,363.29,361.89,362.76,362.09,345.86
273,366.33,359.93,361.65,361.9,361.29,363.32,361.92,362.8,362.09,345.87
274,366.35,359.95,361.67,361.9,361.33,363.33,361.96,362.81,362.09,345.87
275,366.38,359.99,361.71,361.89,361.39,363.35,362.01,362.84,362.12,345.87
276,366.39,360.04,361.73,361.87,361.43,363.35,362.06,362.88,362.15,345.87
277,366.4,360.11,361.76,361.87,361.47,363.36,362.12,362.91,362.18,345.88
278,366.43,360.22,361.79,361.87,361.53,363.39,362.16,362.92,362.25,345.89
279,366.47,360.29,361.81,361.88,361.59,363.41,362.25,362.86,362.29,345.91
280,366.5,360.32,361.82,361.89,361.63,363.43,362.29,362.78,362.32,345.92
281,366.51,360.33,361.83,361.9,361.67,363.43,362.26,362.76,362.31,345.93
282,366.53,360.31,361.84,361.91,361.7,363.45,362.24,362.84,362.28,345.92
283,366.55,360.27,361.85,361.91,361.72,363.47,362.21,362.89,362.22,345.91
284,366.57,360.22,361.85,361.9,361.75,363.51,362.21,362.92,362.16,345.9
285,366.6,360.14,361.86,361.9,361.76,363.55,362.21,362.96,362.08,345.9
286,366.63,360.07,361.87,361.91,361.77,363.59,362.23,362.99,361.95,345.88
287,366.66,360.01,361.88,361.9,361.78,363.63,362.27,362.99,361.9,345.86
288,366.68,359.99,361.89,361.91,361.77,363.65,362.28,363.01,361.88,345.84
289,366.69,359.99,361.91,361.9,361.77,363.66,362.25,363.02,361.9,345.83
290,366.7,359.94,361.88,361.9,361.76,363.67,362.2,362.99,361.93,345.83
291,366.7,359.89,361.86,361.92,361.75,363.67,362.13,362.94,361.93,345.84
