Condition,RMSE,MAE,R2
h6_flux88_abs0_surf0_689s - Sheet3,1.3902806043624878,1.1202239990234375,0.8234023315980817
h6_flux88_abs0_surf0_689s - Sheet3,1.3854089975357056,1.1231200695037842,0.824945338510928
h6_flux88_abs0_surf0_689s - Sheet3,1.3607929944992065,1.100164771080017,0.8321713503282762
h6_flux88_abs0_surf0_689s - Sheet3,1.3190547227859497,1.0650116205215454,0.845538541505479
h6_flux88_abs0_surf0_689s - Sheet3,1.2833400964736938,1.0393707752227783,0.8561383637731032
h6_flux88_abs0_surf0_689s - Sheet3,1.269828200340271,1.0267791748046875,0.858630193717173
h6_flux88_abs0_surf0_689s - Sheet3,1.2625216245651245,1.0204070806503296,0.8602964059303793
h6_flux88_abs0_surf0_689s - Sheet3,1.2618581056594849,1.0163482427597046,0.8590551197977524
h6_flux88_abs0_surf0_689s - Sheet3,1.2748205661773682,1.0177764892578125,0.854284726216637
h6_flux88_abs0_surf0_689s - Sheet3,1.28748619556427,1.0083496570587158,0.8486012519396936
h6_flux88_abs0_surf0_689s - Sheet3,1.299490213394165,1.005029320716858,0.8427210764619631
h6_flux88_abs0_surf0_689s - Sheet3,1.2972943782806396,0.9999023675918579,0.8438077691743497
h6_flux88_abs0_surf0_689s - Sheet3,1.3008954524993896,0.9984527826309204,0.8416050523275788
h6_flux88_abs0_surf0_689s - Sheet3,1.3270574808120728,1.0112488269805908,0.8303766818943092
h6_flux88_abs0_surf0_689s - Sheet3,1.3367528915405273,1.0179932117462158,0.8241093765814715
h6_flux88_abs0_surf0_689s - Sheet3,1.3176236152648926,1.0142700672149658,0.829881446923301
h6_flux88_abs0_surf0_689s - Sheet3,1.2923941612243652,1.008081078529358,0.8384885809062322
h6_flux88_abs0_surf0_689s - Sheet3,1.2791156768798828,1.0066039562225342,0.84203651392178
h6_flux88_abs0_surf0_689s - Sheet3,1.2783781290054321,1.0123687982559204,0.841879194566904
h6_flux88_abs0_surf0_689s - Sheet3,1.295344591140747,1.027063012123108,0.8344783280553734
h6_flux88_abs0_surf0_689s - Sheet3,1.313814640045166,1.0474640130996704,0.827422615788957
h6_flux88_abs0_surf0_689s - Sheet3,1.2953085899353027,1.0383514165878296,0.8332852455244979
h6_flux88_abs0_surf0_689s - Sheet3,1.2628467082977295,1.0199432373046875,0.8453702238062961
h6_flux88_abs0_surf0_689s - Sheet3,1.2571370601654053,1.0266510248184204,0.8481436268924314
h6_flux88_abs0_surf0_689s - Sheet3,1.2541768550872803,1.0294830799102783,0.8487960874030557
h6_flux88_abs0_surf0_689s - Sheet3,1.2498217821121216,1.0286773443222046,0.850145809183721
h6_flux88_abs0_surf0_689s - Sheet3,1.2265514135360718,1.011114478111267,0.8584015252876941
h6_flux88_abs0_surf0_689s - Sheet3,1.215469479560852,1.0002410411834717,0.8620023497481671
h6_flux88_abs0_surf0_689s - Sheet3,1.2254080772399902,0.999676525592804,0.8592735978076802
h6_flux88_abs0_surf0_689s - Sheet3,1.2178540229797363,0.9789367914199829,0.8617288227993655
h6_flux88_abs0_surf0_689s - Sheet3,1.232639193534851,0.969708263874054,0.8559305970150894
h6_flux88_abs0_surf0_689s - Sheet3,1.2279150485992432,0.9471648931503296,0.8567375194394695
h6_flux88_abs0_surf0_689s - Sheet3,1.2081983089447021,0.9309967160224915,0.8632526399358613
h6_flux88_abs0_surf0_689s - Sheet3,1.2066384553909302,0.9252074956893921,0.8655536095258427
h6_flux88_abs0_surf0_689s - Sheet3,1.2196310758590698,0.9348205327987671,0.8625667782972328
h6_flux88_abs0_surf0_689s - Sheet3,1.2433547973632812,0.951892077922821,0.854273245058766
h6_flux88_abs0_surf0_689s - Sheet3,1.280816912651062,0.975109875202179,0.8375175972818387
h6_flux88_abs0_surf0_689s - Sheet3,1.2926286458969116,0.9812286496162415,0.830459136586907
h6_flux88_abs0_surf0_689s - Sheet3,1.2869036197662354,0.9669464230537415,0.8296114246220776
h6_flux88_abs0_surf0_689s - Sheet3,1.26767897605896,0.948223888874054,0.8357055335767929
h6_flux88_abs0_surf0_689s - Sheet3,1.2517189979553223,0.9467010498046875,0.840860995232547
