Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC_9_5,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
385,379.18,379.04,357.0,224.0,167.13,127.33,111.55,104.9,121.46,23.12,154.31,370.967697663859,399.266352347961,399.266352347961,399.266352347961,399.266352347961,399.266352347961,399.266352347961,399.266352347961,399.266352347961,399.266352347961,428.860774624008,0.0375,25900,25,0.98
386,379.23,379.07,357.02,223.89,167.1,127.32,111.52,104.84,121.5,23.15,154.38,371.106375271816,399.423316128938,399.423316128938,399.423316128938,399.423316128938,399.423316128938,399.423316128938,399.423316128938,399.423316128938,399.423316128938,429.017738404985,0.0375,25900,25,0.98
387,379.29,379.12,357.05,223.72,167.08,127.29,111.46,104.64,121.48,23.16,154.43,371.244976043064,399.580200810701,399.580200810701,399.580200810701,399.580200810701,399.580200810701,399.580200810701,399.580200810701,399.580200810701,399.580200810701,429.174623086748,0.0375,25900,25,0.98
388,379.35,379.16,357.08,223.62,167.05,127.25,111.36,104.47,121.4,23.31,154.49,371.383499981302,399.737006386042,399.737006386042,399.737006386042,399.737006386042,399.737006386042,399.737006386042,399.737006386042,399.737006386042,399.737006386042,429.331428662089,0.0375,25900,25,0.98
389,379.38,379.21,357.08,223.52,167.03,127.22,111.28,104.45,121.35,23.21,154.54,371.521947090276,399.893732847816,399.893732847816,399.893732847816,399.893732847816,399.893732847816,399.893732847816,399.893732847816,399.893732847816,399.893732847816,429.488155123863,0.0375,25900,25,0.98
390,379.39,379.25,357.07,223.37,166.98,127.22,111.21,104.51,121.33,23.37,154.58,371.660317373787,400.050380188935,400.050380188935,400.050380188935,400.050380188935,400.050380188935,400.050380188935,400.050380188935,400.050380188935,400.050380188935,429.644802464982,0.0375,25900,25,0.98
391,379.4,379.32,357.06,223.24,166.96,127.23,111.15,104.58,121.35,23.44,154.61,371.798610835687,400.206948402375,400.206948402375,400.206948402375,400.206948402375,400.206948402375,400.206948402375,400.206948402375,400.206948402375,400.206948402375,429.801370678422,0.0375,25900,25,0.98
392,379.42,379.38,357.09,223.14,166.93,127.24,111.18,104.61,121.37,23.41,154.62,371.936827479876,400.363437481171,400.363437481171,400.363437481171,400.363437481171,400.363437481171,400.363437481171,400.363437481171,400.363437481171,400.363437481171,429.957859757218,0.0375,25900,25,0.98
393,379.44,379.39,357.13,222.96,166.91,127.24,111.18,104.66,121.36,23.49,154.65,372.074967310312,400.519847418419,400.519847418419,400.519847418419,400.519847418419,400.519847418419,400.519847418419,400.519847418419,400.519847418419,400.519847418419,430.114269694466,0.0375,25900,25,0.98
394,379.47,379.39,357.16,222.78,166.85,127.25,111.21,104.79,121.4,23.68,154.67,372.213030330998,400.676178207276,400.676178207276,400.676178207276,400.676178207276,400.676178207276,400.676178207276,400.676178207276,400.676178207276,400.676178207276,430.270600483323,0.0375,25900,25,0.98
395,379.49,379.42,357.18,222.67,166.81,127.26,111.26,104.84,121.45,23.72,154.69,372.351016545992,400.83242984096,400.83242984096,400.83242984096,400.83242984096,400.83242984096,400.83242984096,400.83242984096,400.83242984096,400.83242984096,430.426852117007,0.0375,25900,25,0.98
396,379.51,379.47,357.21,222.66,166.79,127.3,111.34,105.02,121.54,23.67,154.72,372.488925959402,400.98860231275,400.98860231275,400.98860231275,400.98860231275,400.98860231275,400.98860231275,400.98860231275,400.98860231275,400.98860231275,430.583024588797,0.0375,25900,25,0.98
397,379.54,379.5,357.23,222.78,166.8,127.34,111.45,105.26,121.67,23.68,154.75,372.626758575387,401.144695615984,401.144695615984,401.144695615984,401.144695615984,401.144695615984,401.144695615984,401.144695615984,401.144695615984,401.144695615984,430.739117892031,0.0375,25900,25,0.98
398,379.57,379.52,357.24,222.93,166.8,127.39,111.51,105.45,121.8,23.74,154.77,372.764514398159,401.300709744063,401.300709744063,401.300709744063,401.300709744063,401.300709744063,401.300709744063,401.300709744063,401.300709744063,401.300709744063,430.89513202011,0.0375,25900,25,0.98
399,379.63,379.57,357.25,222.97,166.79,127.42,111.63,105.49,122.02,23.59,154.85,372.902193431979,401.456644690447,401.456644690447,401.456644690447,401.456644690447,401.456644690447,401.456644690447,401.456644690447,401.456644690447,401.456644690447,431.051066966494,0.0375,25900,25,0.98
400,379.69,379.61,357.25,223.05,166.8,127.44,111.78,105.57,122.21,23.73,154.94,373.039795681161,401.612500448657,401.612500448657,401.612500448657,401.612500448657,401.612500448657,401.612500448657,401.612500448657,401.612500448657,401.612500448657,431.206922724704,0.0375,25900,25,0.98
401,379.71,379.64,357.27,223.0,166.81,127.49,111.81,105.69,122.33,23.68,155.0,373.17732115007,401.768277012275,401.768277012275,401.768277012275,401.768277012275,401.768277012275,401.768277012275,401.768277012275,401.768277012275,401.768277012275,431.362699288323,0.0375,25900,25,0.98
402,379.76,379.68,357.28,222.85,166.84,127.53,111.83,105.76,122.39,23.74,155.05,373.31476984312,401.923974374945,401.923974374945,401.923974374945,401.923974374945,401.923974374945,401.923974374945,401.923974374945,401.923974374945,401.923974374945,431.518396650992,0.0375,25900,25,0.98
403,379.82,379.71,357.27,222.74,166.88,127.58,111.81,105.75,122.41,23.77,155.08,373.452141764779,402.079592530368,402.079592530368,402.079592530368,402.079592530368,402.079592530368,402.079592530368,402.079592530368,402.079592530368,402.079592530368,431.674014806415,0.0375,25900,25,0.98
404,379.87,379.73,357.29,222.75,166.94,127.64,111.81,105.73,122.41,23.91,155.13,373.589436919563,402.235131472309,402.235131472309,402.235131472309,402.235131472309,402.235131472309,402.235131472309,402.235131472309,402.235131472309,402.235131472309,431.829553748356,0.0375,25900,25,0.98
405,379.89,379.75,357.31,222.69,166.99,127.68,111.87,105.77,122.44,23.72,155.16,373.726655312044,402.390591194593,402.390591194593,402.390591194593,402.390591194593,402.390591194593,402.390591194593,402.390591194593,402.390591194593,402.390591194593,431.98501347064,0.0375,25900,25,0.98
