Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC_9_5,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
590,369.7,364.0,334.92,183.21,129.3,94.33,77.8,68.17,61.66,-13.46,63.78,420.506106010646,455.850814820347,455.850814820347,455.850814820347,455.850814820347,455.850814820347,455.850814820347,455.850814820347,455.850814820347,455.850814820347,510.792466981296,0.0375,25900,3,0.98
591,369.57,363.68,334.78,183.06,129.16,94.09,77.62,68.0,61.47,-15.46,63.58,420.61477760202,455.976104438408,455.976104438408,455.976104438408,455.976104438408,455.976104438408,455.976104438408,455.976104438408,455.976104438408,455.976104438408,510.917756599357,0.0375,25900,3,0.98
592,369.39,363.51,334.65,182.99,128.96,94.0,77.37,67.81,61.23,-16.34,63.29,420.723377546647,456.101316656425,456.101316656425,456.101316656425,456.101316656425,456.101316656425,456.101316656425,456.101316656425,456.101316656425,456.101316656425,511.042968817373,0.0375,25900,3,0.98
593,369.15,363.39,334.55,182.89,128.73,93.78,77.1,67.58,61.0,-11.99,63.01,420.8319058655,456.226451489099,456.226451489099,456.226451489099,456.226451489099,456.226451489099,456.226451489099,456.226451489099,456.226451489099,456.226451489099,511.168103650048,0.0375,25900,3,0.98
594,369.02,363.19,334.42,182.56,128.57,93.56,76.9,67.44,60.85,-13.92,62.81,420.940362579584,456.351508951177,456.351508951177,456.351508951177,456.351508951177,456.351508951177,456.351508951177,456.351508951177,456.351508951177,456.351508951177,511.293161112126,0.0375,25900,3,0.98
595,368.94,363.03,334.28,182.42,128.43,93.39,76.69,67.26,60.7,-9.67,62.63,421.048747709938,456.476489057452,456.476489057452,456.476489057452,456.476489057452,456.476489057452,456.476489057452,456.476489057452,456.476489057452,456.476489057452,511.418141218401,0.0375,25900,3,0.98
596,368.88,362.91,334.2,182.45,128.3,93.15,76.48,66.9,60.53,-13.23,62.44,421.157061277632,456.601391822761,456.601391822761,456.601391822761,456.601391822761,456.601391822761,456.601391822761,456.601391822761,456.601391822761,456.601391822761,511.54304398371,0.0375,25900,3,0.98
597,368.76,362.8,334.19,182.18,128.16,92.9,76.27,66.76,60.34,-13.94,62.25,421.26530330377,456.726217261988,456.726217261988,456.726217261988,456.726217261988,456.726217261988,456.726217261988,456.726217261988,456.726217261988,456.726217261988,511.667869422937,0.0375,25900,3,0.98
598,368.64,362.77,334.16,181.97,127.99,92.6,76.07,66.47,60.18,-15.49,62.06,421.373473809489,456.850965390062,456.850965390062,456.850965390062,456.850965390062,456.850965390062,456.850965390062,456.850965390062,456.850965390062,456.850965390062,511.79261755101,0.0375,25900,3,0.98
599,368.53,362.79,334.13,181.95,127.86,92.52,75.91,66.42,60.0,-16.76,61.88,421.481572815959,456.975636221957,456.975636221957,456.975636221957,456.975636221957,456.975636221957,456.975636221957,456.975636221957,456.975636221957,456.975636221957,511.917288382905,0.0375,25900,3,0.98
600,368.44,362.76,334.08,181.91,127.7,92.18,75.79,66.3,59.82,-14.87,61.68,421.58960034438,457.100229772691,457.100229772691,457.100229772691,457.100229772691,457.100229772691,457.100229772691,457.100229772691,457.100229772691,457.100229772691,512.041881933639,0.0375,25900,3,0.98
601,368.36,362.62,333.96,182.07,127.53,92.1,75.62,66.26,59.6,-16.11,61.41,421.697556415988,457.224746057329,457.224746057329,457.224746057329,457.224746057329,457.224746057329,457.224746057329,457.224746057329,457.224746057329,457.224746057329,512.166398218277,0.0375,25900,3,0.98
602,368.29,362.46,333.78,181.86,127.33,91.95,75.41,66.06,59.37,-13.84,61.12,421.805441052049,457.349185090981,457.349185090981,457.349185090981,457.349185090981,457.349185090981,457.349185090981,457.349185090981,457.349185090981,457.349185090981,512.29083725193,0.0375,25900,3,0.98
603,368.23,362.35,333.65,181.75,127.19,91.85,75.24,65.96,59.26,-12.91,60.94,421.913254273863,457.473546888802,457.473546888802,457.473546888802,457.473546888802,457.473546888802,457.473546888802,457.473546888802,457.473546888802,457.473546888802,512.41519904975,0.0375,25900,3,0.98
604,368.13,362.16,333.49,181.65,127.08,91.57,75.18,65.87,59.14,-13.73,60.76,422.020996102761,457.59783146599,457.59783146599,457.59783146599,457.59783146599,457.59783146599,457.59783146599,457.59783146599,457.59783146599,457.59783146599,512.539483626939,0.0375,25900,3,0.98
605,368.04,361.95,333.35,181.72,126.98,91.33,75.07,65.72,59.03,-13.07,60.6,422.128666560107,457.722038837791,457.722038837791,457.722038837791,457.722038837791,457.722038837791,457.722038837791,457.722038837791,457.722038837791,457.722038837791,512.66369099874,0.0375,25900,3,0.98
606,367.95,361.88,333.24,181.79,126.88,91.35,74.96,65.71,58.93,-12.49,60.43,422.236265667299,457.846169019495,457.846169019495,457.846169019495,457.846169019495,457.846169019495,457.846169019495,457.846169019495,457.846169019495,457.846169019495,512.787821180443,0.0375,25900,3,0.98
607,367.87,361.79,333.15,181.56,126.75,91.13,74.82,65.54,58.79,-12.37,60.25,422.343793445764,457.970222026435,457.970222026435,457.970222026435,457.970222026435,457.970222026435,457.970222026435,457.970222026435,457.970222026435,457.970222026435,512.911874187383,0.0375,25900,3,0.98
608,367.74,361.59,333.06,181.51,126.63,91.14,74.66,65.32,58.65,-12.14,60.09,422.451249916963,458.094197873991,458.094197873991,458.094197873991,458.094197873991,458.094197873991,458.094197873991,458.094197873991,458.094197873991,458.094197873991,513.035850034939,0.0375,25900,3,0.98
609,367.57,361.41,332.95,181.46,126.52,90.84,74.48,65.19,58.49,-10.36,59.93,422.558635102389,458.218096577586,458.218096577586,458.218096577586,458.218096577586,458.218096577586,458.218096577586,458.218096577586,458.218096577586,458.218096577586,513.159748738535,0.0375,25900,3,0.98
610,367.39,361.47,332.7,181.34,126.32,90.61,74.21,64.88,58.22,-8.84,59.66,422.665949023567,458.341918152689,458.341918152689,458.341918152689,458.341918152689,458.341918152689,458.341918152689,458.341918152689,458.341918152689,458.341918152689,513.283570313638,0.0375,25900,3,0.98
