Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
2331,375.57,373.75,376.7,376.92,376.44,378.46,378.29,378.89,377.74,368.28,388.463760881802,419.132202466187,419.132202466187,419.132202466187,419.132202466187,419.132202466187,419.132202466187,419.132202466187,419.132202466187,419.132202466187,461.074707264478,0.1575,25900,3,0.98
2332,375.49,373.83,376.69,376.93,376.46,378.46,378.33,378.89,377.78,368.29,388.494404150976,419.167108213083,419.167108213083,419.167108213083,419.167108213083,419.167108213083,419.167108213083,419.167108213083,419.167108213083,419.167108213083,461.109613011373,0.1575,25900,3,0.98
2333,375.42,373.91,376.67,376.96,376.49,378.45,378.34,378.92,377.85,368.3,388.525043115432,419.20200945132,419.20200945132,419.20200945132,419.20200945132,419.20200945132,419.20200945132,419.20200945132,419.20200945132,419.20200945132,461.144514249611,0.1575,25900,3,0.98
2334,375.4,373.99,376.67,377.0,376.52,378.46,378.35,378.97,377.93,368.29,388.555677775305,419.236906180908,419.236906180908,419.236906180908,419.236906180908,419.236906180908,419.236906180908,419.236906180908,419.236906180908,419.236906180908,461.179410979199,0.1575,25900,3,0.98
2335,375.39,374.06,376.65,377.04,376.56,378.48,378.35,378.98,378.02,368.31,388.586308130731,419.271798401853,419.271798401853,419.271798401853,419.271798401853,419.271798401853,419.271798401853,419.271798401853,419.271798401853,419.271798401853,461.214303200144,0.1575,25900,3,0.98
2336,375.42,374.11,376.64,377.05,376.59,378.5,378.35,378.96,378.08,368.35,388.616934181848,419.306686114162,419.306686114162,419.306686114162,419.306686114162,419.306686114162,419.306686114162,419.306686114162,419.306686114162,419.306686114162,461.249190912453,0.1575,25900,3,0.98
2337,375.45,374.14,376.62,377.05,376.61,378.54,378.35,378.93,378.13,368.41,388.647555928792,419.341569317843,419.341569317843,419.341569317843,419.341569317843,419.341569317843,419.341569317843,419.341569317843,419.341569317843,419.341569317843,461.284074116134,0.1575,25900,3,0.98
2338,375.48,374.11,376.64,377.05,376.63,378.57,378.31,378.88,378.2,368.45,388.678173371699,419.376448012904,419.376448012904,419.376448012904,419.376448012904,419.376448012904,419.376448012904,419.376448012904,419.376448012904,419.376448012904,461.318952811194,0.1575,25900,3,0.98
2339,375.5,374.04,376.66,377.04,376.66,378.6,378.17,378.84,378.27,368.47,388.708786510707,419.411322199351,419.411322199351,419.411322199351,419.411322199351,419.411322199351,419.411322199351,419.411322199351,419.411322199351,419.411322199351,461.353826997642,0.1575,25900,3,0.98
2340,375.46,373.94,376.69,377.03,376.69,378.63,378.16,378.79,378.16,368.45,388.739395345953,419.446191877195,419.446191877195,419.446191877195,419.446191877195,419.446191877195,419.446191877195,419.446191877195,419.446191877195,419.446191877195,461.388696675485,0.1575,25900,3,0.98
2341,375.4,373.91,376.72,377.03,376.71,378.65,378.24,378.8,378.06,368.48,388.769999877573,419.481057046442,419.481057046442,419.481057046442,419.481057046442,419.481057046442,419.481057046442,419.481057046442,419.481057046442,419.481057046442,461.423561844733,0.1575,25900,3,0.98
2342,375.34,373.89,376.76,377.03,376.74,378.66,378.32,378.89,377.96,368.54,388.800600105706,419.515917707101,419.515917707101,419.515917707101,419.515917707101,419.515917707101,419.515917707101,419.515917707101,419.515917707101,419.515917707101,461.458422505392,0.1575,25900,3,0.98
2343,375.27,373.9,376.8,377.04,376.78,378.66,378.36,378.88,377.92,368.62,388.831196030488,419.550773859182,419.550773859182,419.550773859182,419.550773859182,419.550773859182,419.550773859182,419.550773859182,419.550773859182,419.550773859182,461.493278657472,0.1575,25900,3,0.98
2344,375.19,373.95,376.84,377.07,376.8,378.65,378.37,378.73,377.89,368.72,388.861787652057,419.585625502692,419.585625502692,419.585625502692,419.585625502692,419.585625502692,419.585625502692,419.585625502692,419.585625502692,419.585625502692,461.528130300982,0.1575,25900,3,0.98
2345,375.1,373.98,376.86,377.11,376.83,378.65,378.43,378.65,377.87,368.79,388.892374970552,419.62047263764,419.62047263764,419.62047263764,419.62047263764,419.62047263764,419.62047263764,419.62047263764,419.62047263764,419.62047263764,461.562977435931,0.1575,25900,3,0.98
