Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,h,flux,abs,surf,Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9,Depth_10,Depth_11,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
51,363.25,361.56,361.96,362.32,361.75,363.64,361.6,362.65,360.81,334.16,218.62,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,341.942937390672,362.307197329062,362.307197329062,362.307197329062,362.307197329062,362.307197329062,362.307197329062,362.307197329062,362.307197329062,362.307197329062,404.249702127352
52,363.24,361.53,361.95,362.3,361.76,363.61,361.59,362.64,360.82,334.35,219.03,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,341.983999203828,362.352338785495,362.352338785495,362.352338785495,362.352338785495,362.352338785495,362.352338785495,362.352338785495,362.352338785495,362.352338785495,404.294843583786
53,363.21,361.5,361.92,362.27,361.75,363.61,361.58,362.64,360.84,334.52,219.4,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,342.025057096768,362.397476476968,362.397476476968,362.397476476968,362.397476476968,362.397476476968,362.397476476968,362.397476476968,362.397476476968,362.397476476968,404.339981275259
54,363.17,361.46,361.9,362.23,361.73,363.61,361.58,362.62,360.83,334.69,219.79,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,342.066111069239,362.442610403085,362.442610403085,362.442610403085,362.442610403085,362.442610403085,362.442610403085,362.442610403085,362.442610403085,362.442610403085,404.385115201376
55,363.13,361.41,361.87,362.18,361.71,363.63,361.58,362.61,360.85,334.87,220.11,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,342.107161120993,362.487740563453,362.487740563453,362.487740563453,362.487740563453,362.487740563453,362.487740563453,362.487740563453,362.487740563453,362.487740563453,404.430245361743
56,363.1,361.37,361.85,362.13,361.69,363.65,361.58,362.57,360.87,335.05,220.57,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,342.148207251779,362.532866957676,362.532866957676,362.532866957676,362.532866957676,362.532866957676,362.532866957676,362.532866957676,362.532866957676,362.532866957676,404.475371755967
57,363.06,361.33,361.81,362.09,361.65,363.66,361.61,362.56,360.89,335.2,220.94,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,342.189249461348,362.577989585362,362.577989585362,362.577989585362,362.577989585362,362.577989585362,362.577989585362,362.577989585362,362.577989585362,362.577989585362,404.520494383652
58,363.03,361.28,361.79,362.04,361.63,363.66,361.63,362.55,360.91,335.37,221.23,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,342.230287749451,362.623108446115,362.623108446115,362.623108446115,362.623108446115,362.623108446115,362.623108446115,362.623108446115,362.623108446115,362.623108446115,404.565613244405
59,363,361.24,361.77,362.01,361.6,363.64,361.62,362.51,360.92,335.54,221.89,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,342.271322115838,362.668223539541,362.668223539541,362.668223539541,362.668223539541,362.668223539541,362.668223539541,362.668223539541,362.668223539541,362.668223539541,404.610728337832
60,362.97,361.18,361.77,361.97,361.54,363.62,361.61,362.48,360.87,335.79,222.23,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,342.31235256026,362.713334865248,362.713334865248,362.713334865248,362.713334865248,362.713334865248,362.713334865248,362.713334865248,362.713334865248,362.713334865248,404.655839663539
61,362.95,361.15,361.78,361.95,361.49,363.57,361.61,362.41,360.79,336.06,222.62,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,342.353379082468,362.758442422842,362.758442422842,362.758442422842,362.758442422842,362.758442422842,362.758442422842,362.758442422842,362.758442422842,362.758442422842,404.700947221132
62,362.92,361.15,361.8,361.96,361.46,363.54,361.6,362.35,360.76,336.24,222.86,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,342.394401682213,362.803546211928,362.803546211928,362.803546211928,362.803546211928,362.803546211928,362.803546211928,362.803546211928,362.803546211928,362.803546211928,404.746051010219
63,362.9,361.16,361.82,361.98,361.44,363.51,361.57,362.35,360.74,336.45,223.15,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,342.435420359245,362.848646232114,362.848646232114,362.848646232114,362.848646232114,362.848646232114,362.848646232114,362.848646232114,362.848646232114,362.848646232114,404.791151030404
64,362.87,361.18,361.83,362.02,361.43,363.48,361.55,362.38,360.76,336.66,223.45,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,342.476435113318,362.893742483006,362.893742483006,362.893742483006,362.893742483006,362.893742483006,362.893742483006,362.893742483006,362.893742483006,362.893742483006,404.836247281297
65,362.87,361.19,361.84,362.05,361.42,363.46,361.54,362.41,360.78,336.87,223.71,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,342.517445944181,362.938834964212,362.938834964212,362.938834964212,362.938834964212,362.938834964212,362.938834964212,362.938834964212,362.938834964212,362.938834964212,404.881339762503
