Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,h,flux,abs,surf,Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9,Depth_10,Depth_11,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
35,362.52,360.75,361.71,362.54,361.71,363.92,362.2,362.49,361.88,341.35,344,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.362974871792,361.458593660239,361.458593660239,361.458593660239,361.458593660239,361.458593660239,361.458593660239,361.458593660239,361.458593660239,361.458593660239,403.40109845853
36,362.6,360.78,361.71,362.54,361.75,363.94,362.15,362.48,361.91,341.53,344,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.400166659657,361.500190435564,361.500190435564,361.500190435564,361.500190435564,361.500190435564,361.500190435564,361.500190435564,361.500190435564,361.500190435564,403.442695233854
37,362.64,360.81,361.7,362.55,361.78,363.97,362.13,362.48,361.91,341.67,344,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.437354123329,361.541782911271,361.541782911271,361.541782911271,361.541782911271,361.541782911271,361.541782911271,361.541782911271,361.541782911271,361.541782911271,403.484287709561
38,362.67,360.88,361.69,362.55,361.81,364,362.1,362.52,361.89,341.82,344,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.474537262689,361.583371087074,361.583371087074,361.583371087074,361.583371087074,361.583371087074,361.583371087074,361.583371087074,361.583371087074,361.583371087074,403.525875885365
39,362.7,360.96,361.67,362.54,361.84,364.03,362.02,362.48,361.9,342,345,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.511716077622,361.624954962688,361.624954962688,361.624954962688,361.624954962688,361.624954962688,361.624954962688,361.624954962688,361.624954962688,361.624954962688,403.567459760979
40,362.71,361.05,361.66,362.52,361.86,364.05,361.93,362.52,361.93,342.19,344,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.548890568009,361.666534537828,361.666534537828,361.666534537828,361.666534537828,361.666534537828,361.666534537828,361.666534537828,361.666534537828,361.666534537828,403.609039336118
41,362.73,361.16,361.65,362.52,361.88,364.07,361.87,362.51,361.95,342.39,344,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.586060733734,361.708109812208,361.708109812208,361.708109812208,361.708109812208,361.708109812208,361.708109812208,361.708109812208,361.708109812208,361.708109812208,403.650614610498
42,362.7,361.23,361.63,362.5,361.91,364.08,361.83,362.47,361.96,342.57,344,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.623226574681,361.749680785542,361.749680785542,361.749680785542,361.749680785542,361.749680785542,361.749680785542,361.749680785542,361.749680785542,361.749680785542,403.692185583832
43,362.68,361.3,361.64,362.47,361.91,363.6,361.79,362.42,361.94,342.72,344,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.660388090732,361.791247457547,361.791247457547,361.791247457547,361.791247457547,361.791247457547,361.791247457547,361.791247457547,361.791247457547,361.791247457547,403.733752255837
44,362.65,361.38,361.67,362.44,361.93,364.12,361.78,362.32,361.93,343.03,345,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.697545281772,361.832809827937,361.832809827937,361.832809827937,361.832809827937,361.832809827937,361.832809827937,361.832809827937,361.832809827937,361.832809827937,403.775314626227
45,362.67,361.41,361.71,362.26,361.96,364.14,361.81,362.23,361.96,343.33,345,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.734698147684,361.874367896428,361.874367896428,361.874367896428,361.874367896428,361.874367896428,361.874367896428,361.874367896428,361.874367896428,361.874367896428,403.816872694719
46,362.71,361.37,361.73,362.36,361.97,363.78,361.86,362.15,361.99,343.52,345,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.771846688352,361.915921662736,361.915921662736,361.915921662736,361.915921662736,361.915921662736,361.915921662736,361.915921662736,361.915921662736,361.915921662736,403.858426461026
47,362.76,361.35,361.74,362.32,361.98,364.12,361.92,362.21,362.04,343.72,345,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.80899090366,361.957471126576,361.957471126576,361.957471126576,361.957471126576,361.957471126576,361.957471126576,361.957471126576,361.957471126576,361.957471126576,403.899975924866
48,362.81,361.38,361.76,362.29,361.96,364.12,361.97,362.24,362.09,343.9,345,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.846130793494,361.999016287664,361.999016287664,361.999016287664,361.999016287664,361.999016287664,361.999016287664,361.999016287664,361.999016287664,361.999016287664,403.941521085955
49,362.83,361.48,361.78,361.73,361.94,363.96,362.02,362.34,362.14,344.1,345,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.883266357736,362.040557145718,362.040557145718,362.040557145718,362.040557145718,362.040557145718,362.040557145718,362.040557145718,362.040557145718,362.040557145718,403.983061944008
50,362.85,361.57,361.82,362.18,361.93,364.14,362.05,362.41,362.2,344.28,344,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.920397596274,362.082093700453,362.082093700453,362.082093700453,362.082093700453,362.082093700453,362.082093700453,362.082093700453,362.082093700453,362.082093700453,404.024598498743
51,362.86,361.6,361.84,362.15,361.9,364.15,362.08,362.14,362.25,344.46,344,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.95752450899,362.123625951585,362.123625951585,362.123625951585,362.123625951585,362.123625951585,362.123625951585,362.123625951585,362.123625951585,362.123625951585,404.066130749876
52,362.87,361.6,361.86,361.88,361.9,364.14,362.07,362.3,362.29,344.6,344,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,337.99464709577,362.165153898832,362.165153898832,362.165153898832,362.165153898832,362.165153898832,362.165153898832,362.165153898832,362.165153898832,362.165153898832,404.107658697123
53,362.88,361.58,361.84,362.07,361.87,364.11,362.06,362.2,362.32,344.76,345,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,338.031765356499,362.206677541911,362.206677541911,362.206677541911,362.206677541911,362.206677541911,362.206677541911,362.206677541911,362.206677541911,362.206677541911,404.149182340202
54,362.93,361.48,361.81,362.02,361.84,364.03,362.08,362.1,362.36,344.89,345,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,338.068879291064,362.248196880539,362.248196880539,362.248196880539,362.248196880539,362.248196880539,362.248196880539,362.248196880539,362.248196880539,362.248196880539,404.19070167883
55,362.95,361.38,361.76,361.93,361.78,364.03,362.08,362.07,362.36,344.97,345,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,338.105988899348,362.289711914434,362.289711914434,362.289711914434,362.289711914434,362.289711914434,362.289711914434,362.289711914434,362.289711914434,362.289711914434,404.232216712724
56,362.95,361.32,361.71,361.98,361.72,363.76,362.08,362.14,362.35,345.09,345,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,338.143094181239,362.331222643312,362.331222643312,362.331222643312,362.331222643312,362.331222643312,362.331222643312,362.331222643312,362.331222643312,362.331222643312,404.273727441603
