Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,h,flux,abs,surf,Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9,Depth_10,Depth_11,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
53,360.87,360.42,360.74,362.19,361.43,362.81,360.41,361.56,358.63,333.98,346.72,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,338.031765356499,362.206677541911,362.206677541911,362.206677541911,362.206677541911,362.206677541911,362.206677541911,362.206677541911,362.206677541911,362.206677541911,404.149182340202
54,360.85,360.37,360.7,362.2,361.42,362.81,360.41,361.48,358.69,334.12,346.66,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,338.068879291064,362.248196880539,362.248196880539,362.248196880539,362.248196880539,362.248196880539,362.248196880539,362.248196880539,362.248196880539,362.248196880539,404.19070167883
55,360.81,360.39,360.66,362.19,361.4,362.8,360.39,361.42,358.74,334.28,346.71,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,338.105988899348,362.289711914434,362.289711914434,362.289711914434,362.289711914434,362.289711914434,362.289711914434,362.289711914434,362.289711914434,362.289711914434,404.232216712724
56,360.77,360.4,360.63,362.2,361.38,362.8,360.37,361.38,358.79,334.4,346.76,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,338.143094181239,362.331222643312,362.331222643312,362.331222643312,362.331222643312,362.331222643312,362.331222643312,362.331222643312,362.331222643312,362.331222643312,404.273727441603
57,360.71,360.44,360.62,362.2,361.35,362.8,360.32,361.34,358.84,334.51,346.77,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,338.180195136623,362.372729066892,362.372729066892,362.372729066892,362.372729066892,362.372729066892,362.372729066892,362.372729066892,362.372729066892,362.372729066892,404.315233865183
58,360.64,360.47,360.61,362.19,361.32,362.83,360.29,361.34,358.9,334.59,346.84,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,338.217291765385,362.414231184892,362.414231184892,362.414231184892,362.414231184892,362.414231184892,362.414231184892,362.414231184892,362.414231184892,362.414231184892,404.356735983183
59,360.59,360.48,360.62,362.16,361.3,362.86,360.28,361.35,358.96,334.68,346.8,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,338.254384067411,362.45572899703,362.45572899703,362.45572899703,362.45572899703,362.45572899703,362.45572899703,362.45572899703,362.45572899703,362.45572899703,404.398233795321
60,360.55,360.45,360.63,362.15,361.27,362.87,360.3,361.36,358.99,334.74,346.96,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,338.291472042589,362.497222503024,362.497222503024,362.497222503024,362.497222503024,362.497222503024,362.497222503024,362.497222503024,362.497222503024,362.497222503024,404.439727301315
61,360.52,360.38,360.64,362.14,361.26,362.9,360.33,361.38,359,334.78,346.9,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,338.328555690805,362.538711702593,362.538711702593,362.538711702593,362.538711702593,362.538711702593,362.538711702593,362.538711702593,362.538711702593,362.538711702593,404.481216500884
62,360.48,360.29,360.62,362.13,361.25,362.92,360.37,361.39,359,334.81,346.85,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,338.365635011945,362.580196595456,362.580196595456,362.580196595456,362.580196595456,362.580196595456,362.580196595456,362.580196595456,362.580196595456,362.580196595456,404.522701393746
63,360.43,360.23,360.59,362.11,361.27,362.92,360.44,361.39,358.94,334.87,346.95,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,338.402710005898,362.621677181331,362.621677181331,362.621677181331,362.621677181331,362.621677181331,362.621677181331,362.621677181331,362.621677181331,362.621677181331,404.564181979622
64,360.41,360.24,360.56,362.1,361.3,362.91,360.51,361.4,358.89,334.93,347.05,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,338.439780672549,362.663153459938,362.663153459938,362.663153459938,362.663153459938,362.663153459938,362.663153459938,362.663153459938,362.663153459938,362.663153459938,404.605658258229
65,360.41,360.26,360.56,362.08,361.3,362.9,360.53,361.35,358.85,334.95,347.07,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,338.476847011787,362.704625430997,362.704625430997,362.704625430997,362.704625430997,362.704625430997,362.704625430997,362.704625430997,362.704625430997,362.704625430997,404.647130229287
