Time,TC_Bottom_rec_groove,TC_botm_Ind,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC_wall_ins_ext,TC_bottom_ins_groove
Seconds,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C
,,,,,,,,,,,,,,
170,364.62,365.91,369.12,371.91,373.59,374.81,374.44,376.78,375.3,376.3,375.29,358.68,23.51,31.13
171,364.61,365.9,369.09,371.89,373.6,374.81,374.46,376.79,375.31,376.33,375.29,358.68,23.5,31.12
172,364.58,365.8,369.07,371.86,373.6,374.81,374.45,376.79,375.31,376.36,375.27,358.7,23.51,31.13
173,364.56,365.9,369.05,371.85,373.6,374.81,374.46,376.79,375.29,376.39,375.26,358.74,23.51,31.12
174,364.54,365.96,369.04,371.83,373.6,374.8,374.47,376.78,375.3,376.42,375.21,358.8,23.5,31.12
175,364.52,366.18,369.02,371.81,373.59,374.79,374.46,376.79,375.31,376.44,375.1,358.83,23.5,31.12
176,364.49,366.08,369.02,371.81,373.58,374.8,374.46,376.81,375.3,376.42,375.04,358.86,23.51,31.13
177,364.47,365.65,369,371.79,373.58,374.8,374.48,376.81,375.31,376.39,375.03,358.85,23.51,31.14
178,364.45,366.59,368.97,371.79,373.58,374.8,374.47,376.82,375.3,376.37,375.05,358.82,23.51,31.12
179,364.42,367.79,368.91,371.76,373.57,374.79,374.47,376.83,375.3,376.36,375.08,358.78,23.51,31.12
180,364.4,367.66,368.88,371.74,373.56,374.79,374.48,376.83,375.3,376.42,375.12,358.77,23.51,31.12
181,364.38,367.71,368.85,371.71,373.54,374.78,374.48,376.83,375.3,376.45,375.17,358.72,23.52,31.12
182,364.36,367.76,368.83,371.68,373.53,374.78,374.47,376.84,375.31,376.48,375.22,358.69,23.51,31.11
183,364.33,367.82,368.8,371.63,373.51,374.77,374.48,376.83,375.32,376.49,375.27,358.64,23.51,31.13
184,364.3,367.82,368.77,371.6,373.48,374.76,374.48,376.84,375.32,376.47,375.24,358.63,23.5,31.12
185,364.28,367.76,368.76,371.6,373.49,374.75,374.48,376.84,375.33,376.45,375.19,358.67,23.51,31.12
186,364.26,367.63,368.76,371.6,373.48,374.74,374.48,376.85,375.32,376.44,375.09,358.7,23.49,31.12
187,364.25,367.5,368.74,371.61,373.48,374.75,374.49,376.86,375.32,376.42,375.01,358.73,23.51,31.13
188,364.22,367.38,368.76,371.61,373.48,374.75,374.49,376.86,375.32,376.4,374.99,358.76,23.51,31.13
189,364.2,367.33,368.75,371.59,373.45,374.74,374.5,376.86,375.3,376.38,375.01,358.76,23.51,31.13
190,364.18,367.26,368.74,371.58,373.46,374.74,374.49,376.87,375.29,376.36,375.04,358.76,23.51,31.13
191,364.15,367.2,368.74,371.55,373.45,374.74,374.49,376.87,375.29,376.35,375.11,358.74,23.5,31.12
192,364.12,371.61,368.73,371.52,373.43,374.75,374.49,376.87,375.28,376.36,375.21,358.7,23.51,31.12
193,364.1,374.05,368.72,371.49,373.43,374.74,374.5,376.86,375.28,376.37,375.37,358.66,23.5,31.12
194,364.08,371.24,368.69,371.46,373.43,374.75,374.5,376.87,375.28,376.4,375.51,358.64,23.51,31.12
195,364.06,366.37,368.66,371.44,373.41,374.76,374.51,376.87,375.29,376.43,375.64,358.66,23.51,31.12
196,364.05,365.47,368.64,371.42,373.41,374.75,374.51,376.89,375.33,376.45,375.72,358.71,23.51,31.11
197,364.03,365.3,368.61,371.39,373.39,374.76,374.52,376.9,375.35,376.48,375.78,358.78,23.52,31.12
198,364.01,365.27,368.59,371.37,373.37,374.76,374.52,376.92,375.39,376.54,375.76,358.84,23.52,31.12
199,363.98,365,368.57,371.34,373.35,374.76,374.52,376.93,375.43,376.59,375.67,358.88,23.53,31.11
200,363.95,365.07,368.56,371.34,373.34,374.76,374.52,376.95,375.46,376.64,375.58,358.89,23.52,31.11
201,363.91,365.09,368.54,371.33,373.33,374.76,374.54,376.97,375.51,376.67,375.47,358.88,23.53,31.12
202,363.9,365.02,368.45,371.34,373.32,374.76,374.55,376.99,375.54,376.7,375.39,358.82,23.53,31.11
203,363.87,365.24,368.4,371.32,373.32,374.75,374.56,376.99,375.55,376.69,375.35,358.77,23.52,31.11
204,363.85,365.31,368.36,371.27,373.31,374.75,374.56,377,375.55,376.7,375.3,358.73,23.53,31.11
205,363.83,365.24,368.32,371.23,373.31,374.75,374.56,377.02,375.55,376.69,375.26,358.71,23.52,31.11
206,363.81,365.45,368.3,371.2,373.3,374.75,374.56,377.03,375.54,376.68,375.27,358.7,23.52,31.1
207,363.8,365.59,368.29,371.2,373.3,374.75,374.56,377.02,375.54,376.67,375.3,358.69,23.51,31.1
208,363.77,365.27,368.29,371.21,373.3,374.76,374.57,377.03,375.54,376.68,375.35,358.7,23.52,31.1
209,363.75,365.28,368.29,371.2,373.28,374.77,374.57,377.04,375.54,376.69,375.37,358.75,23.53,31.11
210,363.73,365.42,368.28,371.17,373.27,374.77,374.56,377.04,375.54,376.7,375.43,358.84,23.52,31.1
211,363.71,365.28,368.24,371.14,373.27,374.77,374.56,377.04,375.54,376.69,375.44,358.91,23.53,31.11
212,363.69,365.06,368.24,371.11,373.27,374.78,374.57,377.05,375.55,376.68,375.37,358.93,23.53,31.12
213,363.67,364.93,368.2,371.09,373.25,374.78,374.56,377.04,375.55,376.67,375.32,358.93,23.53,31.11
214,363.65,364.97,368.18,371.07,373.24,374.79,374.56,377.05,375.55,376.65,375.24,358.93,23.52,31.12
215,363.63,366.4,368.16,371.06,373.24,374.8,374.57,377.05,375.55,376.63,375.23,358.94,23.53,31.12
216,363.62,366.19,368.15,371.05,373.22,374.79,374.57,377.06,375.53,376.68,375.25,358.91,23.53,31.13
217,363.59,365.07,368.14,371.04,373.21,374.8,374.57,377.06,375.51,376.71,375.32,358.89,23.53,31.12
218,363.59,364.81,368.14,371.05,373.2,374.8,374.59,377.06,375.52,376.72,375.39,358.91,23.53,31.12
219,363.56,368.51,368.13,371.04,373.17,374.81,374.59,377.06,375.52,376.69,375.41,358.93,23.54,31.13
220,363.54,372.25,368.11,371.03,373.15,374.81,374.6,377.07,375.6,376.66,375.45,358.98,23.53,31.12
221,363.51,372.61,368.09,371.01,373.14,374.81,374.61,377.07,375.62,376.67,375.5,358.99,23.52,31.12
222,363.48,383.53,368.06,370.98,373.13,374.81,374.61,377.08,375.61,376.7,375.52,359.01,23.53,31.13
223,363.47,351.49,368.04,370.96,373.13,374.81,374.61,377.1,375.62,376.72,375.5,359.03,23.53,31.13
224,363.45,332.38,368.01,370.95,373.12,374.81,374.61,377.09,375.63,376.73,375.45,359.07,23.54,31.13
225,363.43,295.71,367.99,370.94,373.12,374.81,374.61,377.11,375.63,376.74,375.4,359.1,23.53,31.14
226,363.4,264.22,367.96,370.92,373.12,374.81,374.62,377.12,375.64,376.76,375.4,359.13,23.53,31.13
227,363.39,234.74,367.94,370.91,373.11,374.82,374.62,377.14,375.66,376.77,375.45,359.15,23.54,31.13
228,363.36,220.95,367.92,370.89,373.11,374.81,374.62,377.15,375.67,376.78,375.52,359.15,23.53,31.13
229,363.32,207.74,367.92,370.86,373.1,374.81,374.63,377.17,375.68,376.78,375.51,359.15,23.54,31.14
230,363.3,190.81,367.91,370.85,373.09,374.82,374.63,377.19,375.69,376.79,375.55,359.18,23.55,31.13
